ID_dataset;Etat_civil;Nom;Prenoms;sexe_genre;spla.pro;Ile_en_Ile;date of birth;YEAR birth;place of birth;country_birth;date of death;year death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF;Website;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht
AU;Berrouët-Oriol Robert M.;Berrouët-Oriol;Robert M.;m;robert-m-berrouet-oriol.49492;berrouet-oriol;;1951;;;;;;;"Haïti;Canada";researcher;Canadian French;;Q55217164;0000 0000 7390 2620;1624364;https://sites.google.com/site/berroueetoriol/;0;0;0;#N/A;#N/A;#N/A
AU;Binette Christie;Binette;Christie;f;christie-binette.40488;;;1992;;;;;;;Haïti;romancier;French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Bloncourt Gérald;Bloncourt;Gérald;m;gerald-bloncourt.5362;bloncourt;04/11/1926;1926;Bainet;Haiti;29/10/2018;2018;Paris;France;Haiti;"photographer;painter;photojournalist";French;;Q3123601;0000 0001 1466 181X;2710821;http://www.bloncourt.net/;https://en.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://fr.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://ht.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;1932;11209;1319
AU;Bogart Jeanie;Bogart;Jeanie;f;jeanie-bogart.32106;bogart;;1970;;;;;;;Haiti;poet;French;;Q55217166;;;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Bouchotte Giscard;Bouchotte;Giscard;m;giscard-bouchotte.6939;;;;;;;;;;Haiti;journalist;French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Bourjolly Jean-Marie;Bourjolly;Jean-Marie;m;jean-marie-bourjolly.14061;bourjolly;28/09/1947;1947;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q12891871;0000 0000 7385 6062;31392194;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Marie_Bourjolly;#N/A;#N/A;685
AU;Brax Jean-Pierre;Brax;Jean-Pierre;m;;;04/02/1957;1957;Port-au-Prince;Haiti;;;;;"France;Haiti";writer;French;;Q16946633;0000 0003 7393 4931;33651270;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax;#N/A;#N/A;9665
AU;Buriez Emmanuel;Buriez;Emmanuel;m;emmanuel-buriez.37660;;01/01/1987;1987;Delmas;Haiti;;;;;France;"actor;film director";French;;Q39738159;;;http://www.emmanuelburiez.book.fr;0;0;https://ht.wikipedia.org/wiki/Emmanuel_Buriez;#N/A;#N/A;2749
WIKI;Maurice Cadet;Cadet;Maurice;m;;;20/06/1933;1933;Jacmel;Haiti;29/05/2020;2020;;;Haiti;writer;French;;Q18396644;0000 0000 7363 841X;5100760;#N/A;0;https://fr.wikipedia.org/wiki/Maurice_Cadet;https://ht.wikipedia.org/wiki/Maurice_Cadet;#N/A;6082;4407
AU;Calvin Jean-Max;Calvin;Jean-Max;m;;calvin;01/06/1945;1945;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q16946629;0000 0000 4516 3146;1857513;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Max_Calvin;#N/A;#N/A;793
AU;Caplife Charles Edward;Caplife;Charles Edward;m;charles-edward-caplife.6256;;01/01/1960;1960;Cap-Haïtien;Haiti;;;;;"France;Haiti";writer;French;;Q12888836;0000 0000 0323 2908;32243099;http://caplife.free.fr;0;0;https://ht.wikipedia.org/wiki/Charles_Edward_Caplife;#N/A;#N/A;1072
AU;Carly Frantz;Carly;Frantz;m;frantz-carly.43366;;;;;;;;;;Haiti;writer;French;;;0000 0000 5361 8155;7044114;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Castera Georges;Castera;Georges;m;georges-castera.8063;castera;27/12/1936;1936;Port-au-Prince;Haiti;24/01/2020;2020;Pétion-Ville;Haiti;Haiti;"writer;poet";French;;Q12890993;0000 0000 7361 1225;7456457;#N/A;https://en.wikipedia.org/wiki/Georges_Castera;https://fr.wikipedia.org/wiki/Georges_Castera;https://ht.wikipedia.org/wiki/Georges_Castera;2669;16949;3310
AU;Cavé Syto;Cavé;Syto;m;syto-cave.14124;cave;07/08/1944;1944;Jérémie;Haiti;;;;;Haiti;writer;French;;Q18642641;0000 0000 7418 5440;73399131;#N/A;0;0;https://ht.wikipedia.org/wiki/Syto_Cav%C3%A9;#N/A;#N/A;2519
AU;Cazanove Michele;Cazanove;Michele;f;;;;1947;;;;;;;"Haiti;France";"poète;romancier";French;;;;19701838;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Célestin-Mégie Emile;Célestin-Mégie;Emile;m;emile-celestin-megie.35088;;16/10/1922;1922;Marigot, Sud-Est;Haiti;06/07/2018;2018;;;Haiti;writer;French;;Q12890350;0000 0000 7829 4425;39386065;#N/A;0;https://fr.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;https://ht.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;#N/A;3871;1646
AU;Chalmers Mehdi;Chalmers;Mehdi;m;mehdi-chalmers.39515;;;;;;;;;;"Haiti;France";librarian;French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Chancy Myriam J.A.;Chancy;Myriam J.A.;f;;chancy;01/01/1970;1970;;;;;;;Canada;"poet;writer";Canadian French;;Q18631149;;119158299;#N/A;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;0;0;5868;#N/A;#N/A
AU;Charles Jean-Claude;Charles;Jean-Claude;m;jean-claude-charles.14074;charles_jean-claude;20/10/1949;1949;Port-au-Prince;Haiti;07/05/2008;2008;Paris;France;Haiti;writer;French;;Q12891856;0000 0000 7360 0761;57241477;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Claude_Charles;#N/A;#N/A;812
AU;Charles Christophe Philippe;Charles;Christophe Philippe;m;christophe-philippe-charles-christopheles.14073;charles_christophe;01/04/1951;1951;Port-au-Prince;Haiti;;;;;Haiti;"literary scholar;lyricist;journalist;publisher;poet";French;;Q5111758;0000 0000 8399 8398;91292494;#N/A;https://en.wikipedia.org/wiki/Christophe_Charles;https://fr.wikipedia.org/wiki/Christophe_Philippe_Charles;https://ht.wikipedia.org/wiki/Christophe_Charles;1591;4837;3550
AU;Charles Fabian;Charles;Fabian;m;fabian-charles.31432;;12/04/1968;1968;;;;;;;Haiti;poète;French;;;;199365045;http://fabiancharles.blogspot.fr;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Charles Wébert;Charles;Wébert;m;webert-charles.39867;;24/10/1988;1988;Port-au-Prince;Haiti;;;;;Haiti;"écrivain;poète;blogueur";French;;;0000 0001 4045 3440;184199966;http://lelivre.mondoblog.org;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Chassagne Raymond;Chassagne;Raymond;m;raymond-chassagne.14075;chassagne;13/02/1924;1924;Jérémie;Haiti;27/05/2013;2013;Longueuil;Canada;Haiti;"writer;poet;university teacher";French;;Q12896026;0000 0000 3564 7112;36959969;#N/A;https://en.wikipedia.org/wiki/Raymond_Chassagne;https://fr.wikipedia.org/wiki/Raymond_Chassagne;https://ht.wikipedia.org/wiki/Raymond_Chassagne;1628;4348;1170
AU;Chavenet Anaïse;Chavenet;Anaïse;f;anaise-chavenet.44780;;;1959;Jérémie;Haiti;;;;;Haiti;"journalist;writer";French;;;0000 0000 3391 9700;58368568;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Chenet Gérard;Chenet;Gérard;m;gerard-chenet.16720;chenet;14/04/1927;1927;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q11973505;0000 0000 4066 2683;29531822;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Chery Romel;Chery;Romel;m;romel-chery.12826;;;1954;;Haiti;;;;;Canada;writer;French;;Q20562029;0000 0003 7445 6724;11892751;#N/A;0;0;https://ht.wikipedia.org/wiki/Romel_Chery;#N/A;#N/A;718
AU;Clitandre Pierre;Clitandre;Pierre;m;pierre-clitandre.14078;clitandre;20/03/1954;1954;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q18555690;0000 0001 1452 2975;94470563;#N/A;0;0;https://ht.wikipedia.org/wiki/Pierre_Clitandre;#N/A;#N/A;2228
AU;Clorméus Lewis Ampidu ;Clorméus;Lewis Ampidu ;m;lewis-ampidu-clormeus.44901;;;1981;;;;;;;Haïti;researcher;French;;;0000 0004 1994 0721;305322777;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Cocks Georges;Cocks;Georges;m;;;23/04/1975;1975;Saint-Martin;Guadeloupe;;;;;France;"writer;poet;playwright";French;;Q3102491;0000 0004 6413 2782;;#N/A;0;https://fr.wikipedia.org/wiki/Georges_Cocks;https://ht.wikipedia.org/wiki/Georges_Cocks;#N/A;6154;1798
AU;Constant Marcien;Constant;Marcien;m;marcien-constant.49446;;29/05/1956;1956;Camp-Perrin;Haiti;;;;;"Haiti;Canada";"dramaturge;poète";French;;;0000 0004 5182 1415 ;317018594;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Constant Jean André;Constant;Jean André;m;jean-andre-constant.14085;constant;01/01/1968;1968;;;;;;;Haiti;writer;French;;Q12891886;0000 0000 4726 2607;66266233;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean_Andr%C3%A9_Constant;#N/A;#N/A;885
AU;Constant Joëlle;Constant;Joëlle;f;joelle-constant.49445;;;1955;Camp-Perrin;Haiti;;;;;Haiti;researcher;French;0000-0002-3719-4609;Q91207438;0000 0004 5174 7710;317010468;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Dabel Verly;Dabel;Verly;m;verly-dabel.32108;dabel;01/01/1964;1964;;;;;;;Haiti;writer;French;;Q18084484;0000 0000 6655 5755;92103925;#N/A;0;0;https://ht.wikipedia.org/wiki/Verly_Dabel;#N/A;#N/A;2179
AU;Dalembert Louis-Philippe;Dalembert;Louis-Philippe;m;louis-philippe-dalembert.5052;dalembert;08/12/1962;1962;Port-au-Prince;Haiti;;;;;Haiti;"novelist;poet;writer;short story writer;non-fiction writer";Haitian Creole;;Q1315386;0000 0001 2141 3304;80256725;#N/A;https://en.wikipedia.org/wiki/Louis-Philippe_Dalembert;https://fr.wikipedia.org/wiki/Louis-Philippe_Dalembert;https://ht.wikipedia.org/wiki/Louis-Philippe_Dalembert;7814;10839;7983
AU;D'Amérique Jean;D'Amérique;Jean;m;jean-d-amerique.35672;amerique;01/12/1994;1994;Côtes-de-Fer;Haiti;;;;;Haiti;"poet;writer;slam poet";French;;Q47087234;;;https://www.facebook.com/jeandamerique;0;https://fr.wikipedia.org/wiki/Jean_D%27Am%C3%A9rique;0;#N/A;6339;#N/A
AU;Damus Obrillant;Damus;Obrillant;m;obrillant-damus.49594;;;;;;;;;;Haiti;"researcher;writer";French;;;0000 0001 1883 0502;160745557;http://obrillantethaiti.blog.youphil.com;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Danticat Edwidge;Danticat;Edwidge;f;edwige-danticat.4217;danticat;19/01/1969;1969;Port-au-Prince;Haiti;;;;;"United States of America;Haiti";"writer;novelist;children's writer";English;;Q450346;0000 0001 1051 509X;32104515;#N/A;https://en.wikipedia.org/wiki/Edwidge_Danticat;https://fr.wikipedia.org/wiki/Edwidge_Danticat;https://ht.wikipedia.org/wiki/Edwidge_Danticat;31591;6676;1157
AU;Davertige Villard Denis;Davertige;Villard Denis;m;davertige.14086;davertige;02/12/1940;1940;Port-au-Prince;Haiti;25/07/2004;2004;Montreal;Canada;Haiti;"poet;painter";French;;Q7930927;0000 0000 7981 4795;3558664;#N/A;https://en.wikipedia.org/wiki/Villard_Denis;0;https://ht.wikipedia.org/wiki/Davertige;1898;#N/A;823
WIKI;Kern Delince;Delince;Kern;m;;;27/11/1923;1923;Jacmel;Haiti;30/12/2016;2016;New York City;United States of America;Haiti;writer;French;;Q16946741;0000 0000 6642 3285;91894167;#N/A;https://en.wikipedia.org/wiki/Kern_Delince;0;https://ht.wikipedia.org/wiki/Kern_Delince;9642;#N/A;795
AU;Depestre René;Depestre;René;m;rene-depestre.5711;depestre;29/08/1926;1926;Jacmel;Haiti;;;;;Haiti;"poet;writer;essayist";French;;Q59581;0000 0001 2283 0978;94345085;#N/A;https://en.wikipedia.org/wiki/Ren%C3%A9_Depestre;https://fr.wikipedia.org/wiki/Ren%C3%A9_Depestre;https://ht.wikipedia.org/wiki/Ren%C3%A9_Depestre;15223;18853;3657
AU;Desinor Nirvah;Desinor;Nirvah;f;nirvah-desinor.39854;;;;;;;;;;Haiti;writer;French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Désir Sophia;Désir;Sophia;f;sophia-desir.39601;;01/01/1969;1969;;;;;;;Haiti;writer;French;;Q18627792;0000 0001 3933 038X;107388714;#N/A;0;0;https://ht.wikipedia.org/wiki/Sophia_D%C3%A9sir;#N/A;#N/A;3665
AU;Desquiron Lilas;Desquiron;Lilas;f;;desquiron;01/01/1945;1945;Port-au-Prince;Haiti;;;;;Haiti;"novelist;ethnologist";French;;Q12893500;0000 0000 5434 0239;59122885;#N/A;https://en.wikipedia.org/wiki/Lilas_Desquiron;0;https://ht.wikipedia.org/wiki/Lilas_Desquiron;1665;#N/A;804
AU;Desrivières Jean-Durosier;Desrivières;Jean-Durosier;m;jean-durosier-desrivieres.24258;desrivieres;;1972;;;;;;;Haiti;"poète;dramaturge";French;;Q55217155;0000 0000 4405 6808;49514140;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Desroches Jenner;Desroches;Jenner;m;jenner-desroches.49447;;01/01/1939;1939;Cap-Haïtien;Haiti;;;;;Canada;"researcher;writer";Canadian French;;Q12891968;0000 0000 7378 373X;29183556;#N/A;0;0;https://ht.wikipedia.org/wiki/Jenner_Desroches;#N/A;#N/A;805
AU;Desrosiers Joël;Desrosiers;Joël;m;joel-des-rosiers.15170;desrosiers;26/10/1951;1951;Les Cayes;Haiti;;;;;Canada;"poet;writer";French;;Q3187394;0000 0001 1035 5006;2622758;#N/A;0;https://fr.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;https://ht.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;#N/A;14932;2823
AU;Desvignes Luckner;Desvignes;Luckner;m;luckner-desvignes.6659;;;;;;;;;;Haiti;writer;French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Dieurat Clervoyant;Dieurat;Clervoyant;m;clervoyant-dieurat.46356;;;1965;;;;;;;"Haiti;France";"researcher;writer";French;;;0000 0000 9707 1307 ;143494271;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Dominique Jan J.;Dominique;Jan J.;f;jan-j-dominique.14090;dominique;25/01/1953;1953;Port-au-Prince;Haiti;;;;;Haiti;"writer;journalist";French;;Q16946539;0000 0000 7362 5678;50649908;#N/A;0;https://fr.wikipedia.org/wiki/Jan_J._Dominique;https://ht.wikipedia.org/wiki/Jan_J._Dominique;#N/A;7197;791
AU;Dorsinville Max;Dorsinville;Max;m;max-dorsinville.32109;dorsinville_max;01/01/1943;1943;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q18412231;0000 0001 0939 2889;118880958;#N/A;0;0;https://ht.wikipedia.org/wiki/Max_Dorsinville;#N/A;#N/A;1415
AU;Dorvil Richardson;Dorvil;Richardson;m;richardson-dorvil.45358;;;;;;;;;;Haiti;"photographer;writer";French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Dovilas Anderson;Dovilas;Anderson;m;anderson-dovilas.22813;dovilas;;1985;;;;;;;Haiti;"dramaturge;poète";French;;Q55217151;0000 0003 7660 732X;253344847;http://www.dovanderson.over-blog.com;0;0;0;#N/A;#N/A;#N/A
AU;Duckens Charitable;Duckens;Charitable;m;duckens-charitable-duccha.22294;duccha;02/09/1982;1982;;;;;;;Haiti;writer;French;;Q16946096;0000 0000 0509 2013;32325098;#N/A;0;0;https://ht.wikipedia.org/wiki/Duccha;#N/A;#N/A;897
AU;Edouard Willems;Edouard;Willems;m;willems-edouard.49119;edouard;23/04/1965;1965;Pétion-Ville;Haiti;;;;;"Haiti;France";"poet;lawyer";French;;Q55217158;0000 0000 3579 8260 ;270555161;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Elbadawi Soeuf;Elbadawi;Soeuf;m;;soeuf-elbadawi;29/05/1970;1970;Moroni;Comoros;;;;;Comoros;"writer;actor;director;journalist";French;;Q3488805;0000 0001 2098 2193;212561;#N/A;0;https://fr.wikipedia.org/wiki/Soeuf_Elbadawi;https://ht.wikipedia.org/wiki/Soeuf_Elbadawi;#N/A;12493;1029
AU;Estepha Jean James;Estepha;Jean James;m;jean-james-estepha.45855;;;;;;;;;;Haiti;"teacher;journalist";French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Étienne Gérard;Étienne;Gérard;m;gerard-etienne.14094;etienne;;1936;;;;;;;Haiti;"journalist;poet;linguist";French;;Q289255;;;#N/A;https://en.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;https://fr.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;0;11562;36997;#N/A
AU;Eugène Emmanuel;Eugène;Emmanuel;m;emmanuel-eugene.9072;ejen;02/07/1946;1946;Guantánamo;Cuba;;;;;Haiti;writer;Haitian Creole;;Q16946145;0000 0000 8009 0552;102436018;#N/A;0;https://fr.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;https://ht.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;#N/A;2914;1111
AU;Exavier Marc;Exavier;Marc;m;marc-exavier.32110;exavier;01/01/1950;1950;;;;;;;Haiti;writer;French;;Q18341492;0000 0000 3499 3849;14946444;#N/A;0;0;https://ht.wikipedia.org/wiki/Marc_Exavier;#N/A;#N/A;804
AU;Fanini-Lemoin Hervé;Fanini-Lemoin;Hervé;m;herve-fanini-lemoin.39597;;;;;;;;;;Haiti;"éditeur;auteur";French;;;;;http://kiskeyapublishingsco.com/index.html;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
WIKI;Farah-Martine Lhérisson;Farah-Martine;Lhérisson;f;;lherisson_farah-martine;30/11/1970;1970;Port-au-Prince;Haiti;15/06/2020;2020;;;Haiti;writer;French;;Q16946185;0000 0000 3475 8339;7561501;#N/A;0;0;https://ht.wikipedia.org/wiki/Farah-Martine_Lh%C3%A9risson;#N/A;#N/A;1897
AU;Felin Guetty;Felin;Guetty;f;guetty-felin.17710;;;;Port-au-Prince;Haiti;;;;;"United States of America;Haiti";"director;producer;scriptwriter";French;;;;173890375;http://bellemoonproductions.com/;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Fenelon Fortestson;Fenelon;Fortestson;m;fortestson-fenelon-lokandya.22420;;02/02/1982;1982;Port-au-Prince;Haiti;;;;;Haiti;"writer;poet;journalist";French;;;;101027892;http://paroleenarchipel.over-blog.com;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Fièvre Jessica;Fièvre;Jessica;f;jessica-fievre.14101;fievre;29/04/1981;1981;Port-au-Prince;Haiti;;;;;Haiti;"writer;novelist";French;;Q12891979;0000 0003 7487 0220;223773416;#N/A;https://en.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;0;https://ht.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;3194;#N/A;1071
