ID;Nom;Prenoms;VIAF;sex or gender;spla_pro;Ile_en_Ile;date of birth;place of birth;country_birth;date of death;place of death;country_death;country of citizenship;occupation;languages spoken, written or signed;WorldCat Identities ID;ORCID iD;Wiki_ID;ISNI;VIAF
;Batraville;Frantz Dominique;;male;;batraville;20/02/1962;Port-au-Prince;Haiti;;;;Haiti;"writer;literary critic;poet";French;lccn-no2010097291;;Q16029082;0000 0000 7990 2234;34700403
;Beaugé-Rosier;Jacqueline;;female;;beauge-rosier;07/02/1932;Jérémie;Haiti;28/07/2016;Ottawa;Canada;Haiti;"poet;writer";French;lccn-no2017062098;;Q3157670;0000 0001 1438 1092;13423245
;Bélance;René;;male;;belance;08/01/1915;Corail, Grand'Anse;Haiti;11/01/2004;Port-au-Prince;Haiti;Haiti;writer;French;lccn-n86042707;;Q18575751;0000 0000 7988 2042;28549341
;Belin Biais;Maggy;;female;;belin;08/04/1950;;;;;;;writer;;lccn-no2018172382;;Q79392218;0000 0004 6358 6520;2,22E+19
;Bellegarde;Louis Dantès;;male;;bellegarde;18/05/1877;Port-au-Prince;Haiti;16/06/1966;Port-au-Prince;Haiti;Haiti;"historian;diplomat;politician";French;lccn-n84041390;;Q3015752;0000 0000 2314 2651;46803770
;Bellerice;Jules Emmanuel;;male;;;;;;;;;Haiti;writer;;lccn-n2003053320;;Q12892188;0000 0000 4515 3781;1845443
;Benjamin;Franz;;male;;benjamin;01/01/1968;Port-au-Prince;Haiti;;;;"Canada;Haiti";writer;Canadian French;lccn-no2005031391;;Q12890785;0000 0000 7370 9273;69253640
;Berrouët-Oriol;Robert M.;;male;;berrouet-oriol;;;;;;;"Haïti;Canada";researcher;Canadian French;lccn-n89672931;;Q55217164;0000 0000 7390 2620;1624364
;Binette;Christie;;female;;;1992;;;;;;Haïti;;;;;;;
;Blaise;Mario;;male;;;1943;;;;;;;;;;;;;100225976
;Bloncourt;Gérald;;male;;bloncourt;04/11/1926;Bainet;Haiti;29/10/2018;Paris;France;Haiti;"photographer;painter;photojournalist";French;lccn-n87827667;;Q3123601;0000 0001 1466 181X;2710821
;Bogart;Jeanie;;female;;bogart;;;;;;;;;;;;Q55217166;;
;Bouchotte;Giscard;;male;;;;;;;;;;;;;;;;
;Bourjolly;Jean-Marie;;male;;bourjolly;28/09/1947;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-n2004088424;;Q12891871;0000 0000 7385 6062;31392194
;Brax;Jean-Pierre;;male;;;04/02/1957;Port-au-Prince;Haiti;;;;"France;Haiti";writer;French;lccn-n92037193;;Q16946633;0000 0003 7393 4931;33651270
;Brierre;Jean Fernand;;male;;brierre;23/09/1909;Jérémie;Haiti;01/12/1992;Port-au-Prince;Haiti;Haiti;"diplomat;poet;journalist;playwright;politician;historian";French;lccn-n79084772;;Q3165387;0000 0000 2161 2461;59079637
;Brouard;Carl;;male;;brouard;05/12/1902;Port-au-Prince;Haiti;29/11/1965;Port-au-Prince;Haiti;Haiti;"journalist;poet;artist";French;lccn-no2005112577;;Q2938879;0000 0000 7359 6475;41837233
;Buriez;Emmanuel;;male;;;01/01/1987;Delmas;Haiti;;;;France;"actor;film director";French;;;Q39738159;;
;Calvin;Jean-Max;;male;;calvin;01/06/1945;Port-au-Prince;Haiti;;;;Haiti;writer;;lccn-n2004025818;;Q16946629;0000 0000 4516 3146;1857513
;Camille;Roussan;;male;;camille;27/08/1912;Jacmel;Haiti;07/12/1961;Port-au-Prince;Haiti;Haiti;"journalist;poet;diplomat";French;lccn-no98029386;;Q953097;0000 0001 1769 5521;71523357
;Capécia;Mayotte;;female;;capecia;17/02/1916;Le Carbet;France;24/11/1955;Paris;France;France;writer;French;lccn-n97036406;;Q18421742;0000 0000 3647 1091;62421697
;Caplife;Charles Edward;;male;;;01/01/1960;Cap-Haïtien;Haiti;;;;"France;Haiti";writer;French;;;Q12888836;0000 0000 0323 2908;32243099
;Carly;Frantz;;male;;;1974;;;;;;;;;;;;;70131753
;Casséus;Maurice;;male;;casseus;01/01/1902;Port-au-Prince;Haiti;01/01/1963;London;United Kingdom;Haiti;writer;French;;;Q12894241;0000 0003 6628 2234;231662173
;Castera;Georges;;male;;castera;27/12/1936;Port-au-Prince;Haiti;24/01/2020;Pétion-Ville;Haiti;Haiti;"writer;poet";French;lccn-n87143354;;Q12890993;0000 0000 7361 1225;7456457
;Cavé;Syto;;male;;cave;07/08/1944;Jérémie;Haiti;;;;Haiti;writer;French;lccn-no00053999;;Q18642641;0000 0000 7418 5440;73399131
;Cazanove;Michele;;female;;;;;;;;;;;;;;;;19701838
;Célestin-Mégie;Emile;;male;;;16/10/1922;Marigot, Sud-Est;Haiti;06/07/2018;;;Haiti;writer;French;lccn-n86828658;;Q12890350;0000 0000 7829 4425;39386065
;Chalmers;Mehdi;;male;;;;;;;;;;;;;;;;1,92E+20
;Chancy;Myriam J.A.;;female;;chancy;01/01/1970;;;;;;Canada;"poet;writer";;lccn-n96036950;;Q18631149;;119158299
;Charles;Christophe Philippe;;male;;charles_christophe;01/04/1951;Port-au-Prince;Haiti;;;;Haiti;"literary scholar;lyricist;journalist;publisher;poet";French;lccn-n80122747;;Q5111758;0000 0000 8399 8398;91292494
;Charles;Fabian;;male;;;12/04/1968;Itapetinga;Brazil;;;;Brazil;"association football player;association football manager";;lccn-no2014076645;;Q2351691;;199365045
;Charles;Jean-Claude;;male;;charles_jean-claude;20/10/1949;Port-au-Prince;Haiti;07/05/2008;Paris;France;Haiti;writer;French;lccn-n83013069;;Q12891856;0000 0000 7360 0761;57241477
;Chassagne;Raymond;;male;;chassagne;13/02/1924;Jérémie;Haiti;27/05/2013;Longueuil;Canada;Haiti;"writer;poet;university teacher";;lccn-n97095851;;Q12896026;0000 0000 3564 7112;36959969
;Chavenet;Anaïse;;female;;;;;;;;;;;;;;;;58368568
;Chenet;Gérard;;male;;chenet;14/04/1927;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-no99038191;;Q11973505;0000 0000 4066 2683;29531822
;Chery;Romel;;;;;;;;;;;;writer;;;;Q20562029;;
;Clitandre;Pierre;;male;;clitandre;20/03/1954;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-n81135670;;Q18555690;0000 0001 1452 2975;94470563
;Cocks;Georges;;male;;;23/04/1975;Saint-Martin;Guadeloupe;;;;France;"writer;poet;playwright";French;;;Q3102491;0000 0004 6413 2782;
;Colimon Hall;Marie-Thérèse;;female;;colimon-hall;11/04/1918;Port-au-Prince;Haiti;01/01/1997;;;Haiti;"writer;actor";French;lccn-n80150410;;Q3132299;0000 0000 7974 8986;49223557
;Constant;Marcien;;male;;;1956;;;;;;;;;;;;;317018594
;Constant;Jean André;;male;;constant;01/01/1968;;;;;;Haiti;writer;;lccn-no2007159067;;Q12891886;0000 0000 4726 2607;66266233
;Constant;Joëlle;;female;;;;;;;;;;researcher;;;0000-0002-3719-4609;Q91207438;;
;Dabel;Verly;;male;;dabel;01/01/1964;;;;;;Haiti;writer;;lccn-n94011160;;Q18084484;0000 0000 6655 5755;92103925
;Dalembert;Louis-Philippe;;male;;dalembert;08/12/1962;Port-au-Prince;Haiti;;;;Haiti;"novelist;poet;writer;short story writer;non-fiction writer";Haitian Creole;lccn-no90021407;;Q1315386;0000 0001 2141 3304;80256725
;D'Amérique;Jean;;male;;amerique;01/12/1994;Côtes-de-Fer;Haiti;;;;Haiti;"poet;writer;slam poet";;;;Q47087234;;2,42E+19
;Damus;Obrillant;Damus, Obrillant;;;;;;;;;;;;;;;;;160745557
;Danticat;Edwidge;;female;;danticat;19/01/1969;Port-au-Prince;Haiti;;;;"United States of America;Haiti";"writer;novelist;children's writer";English;lccn-n93100617;;Q450346;0000 0001 1051 509X;32104515
;Davertige;Villard Denis;;male;;davertige;02/12/1940;Port-au-Prince;Haiti;25/07/2004;Montreal;Canada;Haiti;"poet;painter";French;;;Q7930927;0000 0000 7981 4795;3558664
;Depestre;René;;male;;depestre;29/08/1926;Jacmel;Haiti;;;;Haiti;"poet;writer;essayist";French;lccn-n50001715;;Q59581;0000 0001 2283 0978;94345085
;Desinor;Nirvah;Nirvah Desinor;;;;;;;;;;;;;;;;;
;Désir;Sophia;;female;;;01/01/1969;;;;;;Haiti;writer;;lccn-no2010019239;;Q18627792;0000 0001 3933 038X;107388714
;Desquiron;Lilas;;female;;desquiron;01/01/1945;Port-au-Prince;Haiti;;;;Haiti;"novelist;ethnologist";French;lccn-nr91040488;;Q12893500;0000 0000 5434 0239;59122885
;Desrivières;Jean-Durosier;;male;;desrivieres;;;;;;;;;;;;Q55217155;;
;Desroches;Jenner;;;;;01/01/1939;;;;;;Haiti;writer;;lccn-no2001063040;;Q12891968;0000 0000 7378 373X;29183556
;Desrosiers;Joël;;male;;desrosiers;26/10/1951;Les Cayes;Haiti;;;;Canada;"poet;writer";French;lccn-n95049237;;Q3187394;0000 0001 1035 5006;2622758
;Desvignes;Luckner;Luckner Desvignes;;;;;;;;;;;;;;;;;
;Dieurat;Clervoyant;Clervoyant, Dieurat;;;;;;;;;;;;;;;;;143494271
;Dominique;Jan J.;;female;;dominique;25/01/1953;Port-au-Prince;Haiti;;;;Haiti;"writer;journalist";French;lccn-n85061379;;Q16946539;0000 0000 7362 5678;50649908
;Dorsinville;Roger;;male;;dorsinville_roger;11/03/1911;Port-au-Prince;Haiti;12/01/1992;Port-au-Prince;Haiti;Haiti;"journalist;politician;diplomat;poet;playwright";French;lccn-n50026152;;Q2990316;0000 0001 1084 7561;114358405
;Dorsinville;Max;;male;;dorsinville_max;01/01/1943;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-n82010697;;Q18412231;0000 0001 0939 2889;118880958
;Dorvil;Richardson;Richardson Dorvil;;;;;;;;;;;;;;;;;
;Dovilas;Anderson;;;;dovilas;;;;;;;;;;;;Q55217151;;
;Duckens;Charitable;;male;;duccha;02/09/1982;;;;;;Haiti;writer;;;;Q16946096;0000 0000 0509 2013;32325098
;Edouard;Willems;Édouard, Willems 1965-;;;;18/05/1905;;;;;;;;;;;;;270555161
;Elbadawi;Soeuf;;male;;soeuf-elbadawi;29/05/1970;Moroni;Comoros;;;;Comoros;"writer;actor;director;journalist";French;lccn-no2011116334;;Q3488805;0000 0001 2098 2193;212561
;Estepha;Jean James;Jean James Estepha;;;;;;;;;;;;;;;;;
;Étienne;Gérard;Gérard Étienne;;;etienne;;;;;;;Haiti;"journalist;poet;linguist";French;lccn-n84168859;;Q289255;;
;Eugène;Emmanuel;;male;;ejen;02/07/1946;Guantánamo;Cuba;;;;Haiti;writer;Haitian Creole;lccn-no2010097304;;Q16946145;0000 0000 8009 0552;102436018
;Exavier;Marc;;male;;exavier;01/01/1950;;;;;;Haiti;writer;French;lccn-n97044053;;Q18341492;0000 0000 3499 3849;14946444
;Fanini-Lemoin;Hervé;Hervé Fanini-Lemoin;;;;;;;;;;;;;;;;;
;Fednel;Alexandre;Sandino, Alexandre Fédnel 1978-;;;;1978;;;;;;;;;;;;;46304109
;Felin;Guetty;Felin, Guetty;;;;;;;;;;;;;;;;;173890375
;Fenelon;Fortestson;FeÌ?nelon, Fortestson, 1982-;;;;1982;;;;;;;;;;;;;101027892
;Fièvre;Jessica;;female;;fievre;29/04/1981;Port-au-Prince;Haiti;;;;Haiti;"writer;novelist";;lccn-no00099734;;Q12891979;0000 0003 7487 0220;223773416
;Fignolé;Jean-Claude;;male;;fignole;24/05/1941;Jérémie;Haiti;11/07/2017;Port-au-Prince;Haiti;Haiti;"writer;politician";French;lccn-n79091007;;Q3164963;0000 0000 8132 4410;54164605
;Fleurant;Elie;Fleurant, Élie;;;;;;;;;;;;;;;;;56161776
;Florival;Jean;;male;;;01/01/1930;;;;;;Haiti;journalist;French;lccn-no2012137921;;Q16946574;0000 0003 8247 1035;265511168
;Florvil;Haveson;;male;;;31/05/1989;Ouanaminthe;Haiti;;;;Haiti;"entrepreneur;lecturer";;;;Q96952677;;
;Fouad;André;Fouad, AndreÌ?;;;;;;;;;;;;;;;;;88476157
;Foucard Guignard;Mercedes;;female;;deita;21/09/1935;Port-de-Paix;Haiti;29/12/2012;Pétion-Ville;Haiti;Haiti;writer;;lccn-n89665753;;Q12889446;0000 0000 3357 4423;45914128
;Fouché;Franck;;male;;fouche;01/01/1915;;;01/01/1978;;;Haiti;writer;French-based creole languages;lccn-nr92018173;;Q12890741;0000 0000 7248 237X;41967110
;François;Yanick;;male;;;;;;;;;;;;;;;;
;Frankétienne;Jean-Pierre Basilic Dantor;;male;;franketienne;12/04/1936;Ravine-Sèche;Haiti;;;;Haiti;"painter;poet;musician;singer;novelist;artist;writer;playwright;politician";French;lccn-n80106853;;Q162778;"0000 0001 2099 3255; 0000 0003 6863 4926";15916887
;Franz;Émilie;;female;;franz;;;;;;;Haiti;writer;;;;Q16946141;;
;Frisch;Peter;;male;;;;;;;;;;;;;;;;
;Gabriel;Winnie Hugot ;;female;;;;;;;;;;;;;;;;5,38E+20
;Gaillard-Vanté;Geneviève;;female;;gaillard-vante;;Port-au-Prince;Haiti;;;;Haiti;writer;;lccn-no2007046493;;Q12890976;0000 0000 4708 8952;61320682
;Garoute;Jean-Claude;;male;;;09/12/1935;Jérémie;Haiti;01/12/2006;Miami;United States of America;Haiti;"painter;sculptor;artist";French;lccn-n2009081768;;Q782156;0000 0001 1479 2086;103491485
;Gesner;Jean-Gilles;;male;;;;;;;;;;;;;;;;
;Gousse;Edgard;;male;;;;;;;;;Canada;;Canadian French;lccn-no2015147927;;Q55725389;0000 0000 7829 939X;72683298
;Guérin;Mona;;female;;guerin;09/10/1934;Port-au-Prince;Haiti;30/12/2011;;;Haiti;"journalist;poet";French;lccn-n50018299;;Q12894528;0000 0000 2426 5127;14789597
;Heurtelou;Maude;;female;;;;;;;;;Haiti;writer;;;;Q20559271;;
;Hilaire;Johnie;;male;;;;;;;;;;;;;;;;
;Hill;Lawrence;;male;;;24/01/1957;Newmarket;Canada;;;;Canada;"writer;novelist";Canadian English;lccn-no92031263;;Q3828146;0000 0000 7367 3418;100308975
;Hurbon;Laënnec;;male;;;21/06/1940;Jacmel;Haiti;;;;Haiti;writer;French;lccn-n88618866;;Q16946779;0000 0000 7359 180X;24602927
;Hyppolite;Joanne;;female;;;;;;;;;Haiti;"writer;curator";;;;Q16946660;;
;Jacquet;Jean Emmanuel;;male;;jacquet;26/12/1981;Port-au-Prince;Haiti;;;;Haiti;director general;;;;Q96198910;;
;Jean;Yanick;;female;;jean;01/01/1946;Port-au-Prince;Haiti;01/01/2000;;;Haiti;writer;;;;Q3571564;0000 0000 7554 7028;106470707
;Jean;Maguy D.;;male;;;;;;;;;;;;;;;;1,02E+19
;Jeanty;Constant;;male;;;;;;;;;;;;;;;;317017661
;Juste-Constant;Voegeli;;male;;;;;;;;;;;;;;;;38528560
;Kauss;Saint-John;;male;;kauss;;;;;;;;;;;;Q55217152;;
;Kénol;Henry;;male;;;;;;;;;;;;;;;;160819922
;Kerns Fleurimond;Wiener;;male;;;01/01/1958;;;;;;France;"journalist;writer";French;lccn-no2003129431;;Q12898302;0000 0001 0800 0839;49452017
;Klang;Gary;;male;;klang;28/12/1941;Port-au-Prince;Haiti;;;;Haiti;"school teacher;playwright;poet";French;lccn-n87898652;;Q3098578;0000 0000 7362 8019;56734287
;Labuchin;Rassoul;;male;;labuchin;01/01/1974;;;;;;Haiti;film actor;;;;Q12896004;;
;Laferrière;Dany;;male;;laferriere;13/04/1953;Port-au-Prince;Haiti;;;;"Canada;Haiti";"writer;poet;novelist;screenwriter;journalist;film director";French;lccn-n86080810;;Q1165217;0000 0001 2142 4759;87061403
;Lafortune;Fred Edson;;male;;lafortune;31/07/1982;Anse-à-Veau;Haiti;;;;Haiti;poet;;;;Q3086821;;
;Laguerre;Alex;;male;;;01/01/1967;;;;;;Haiti;writer;Haitian Creole;lccn-no00091438;;Q12887205;0000 0000 5039 5160;4482572
;Lahens;Yanick;;female;;lahens;22/12/1953;Port-au-Prince;Haiti;;;;Haiti;"radio personality;writer;short story writer";French;lccn-nr92041856;;Q2599418;0000 0001 0889 1002;37986271
;Laraque;Paul;;male;;laraque;21/09/1920;Jérémie;Haiti;08/03/2007;New York City;United States of America;Haiti;poet;;lccn-n86142465;;Q3371635;0000 0001 1025 175X;39379555
;Large;Josaphat-Robert;;male;;large;15/11/1942;Jérémie;Haiti;28/10/2017;New York City;United States of America;Haiti;"poet;novelist;art critic;writer";French;lccn-no91010842;;Q531431;0000 0000 7829 7669;103807753
;Laroche;Marc Léo;;male;;laroche;01/01/1940;;;;;;Haiti;"sociologist;writer";French;;;Q18341665;0000 0000 7884 9523;86008488
;Laroche;Maximilien;;male;;laroche_maximilien;05/04/1937;Cap-Haïtien;Haiti;27/07/2017;Quebec City;Canada;"Haiti;Canada";"writer;university teacher;literary scholar";French;lccn-n82137179;;Q18926023;0000 0001 0857 9289;61548154
;Lauture;Denizé;;male;;lauture;11/05/1946;;;;;;Haiti;writer;;lccn-nr89008129;;Q12889499;0000 0000 5453 9790;7235847
;Lavoie Aupont;Coutechève;;male;;aupont;16/10/1982;Mirebalais;Haiti;;;;Haiti;"writer;poet";;;;Q55217112;;
;Leconte;Frantz-Antoine;;male;;;01/01/1948;;;;;;Haiti;writer;French;lccn-n94113849;;Q16946241;0000 0000 8412 2312;115232564
;Legagneur;Serge;;male;;legagneur;10/01/1937;Jérémie;Haiti;30/06/2017;Montreal;Canada;Haiti;poet;French;lccn-n98038688;;Q12897255;0000 0000 7363 3563;73978144
;Léger;Dimitri Elias;;male;;;;;;;;;;;;;;;;
;Lemoine;Lucien;;male;;lemoine;01/01/1923;Haiti;Haiti;13/01/2010;Dakar;Senegal;"Haiti;Senegal";poet;;lccn-n85324864;;Q26252366;0000 0000 2825 2745;14838039
;Léonidas;Jean-Robert;;male;;leonidas;11/06/1946;Jérémie;Haiti;;;;Haiti;physician writer;French;lccn-n95110473;;Q3169950;0000 0001 0879 1247;23852925
;Lominy;J.M.;;male;;;;;;;;;;;;;;;;
;Lucas;Rafaël;;male;;;;;;;;;;;;;;;;
;Magloire;Nadine;;female;;magloire_nadine;10/02/1932;Port-au-Prince;Haiti;;;;;novelist;;;;Q47571408;;
;Magloire-Saint-Aude;Clément;;male;;magloire-saint-aude;01/01/1912;Port-au-Prince;Haiti;27/05/1971;Port-au-Prince;Haiti;Haiti;"writer;poet";French;lccn-n86144694;;Q2980637;0000 0000 8019 241X;49347179
;Manigat Jr.;Angelucci;;male;;manigat;01/01/1963;Port-au-Prince;Haiti;;;;Haiti;writer;Haitian Creole;;;Q12887389;;
;Mars;Kettly;;female;;mars;03/09/1958;Port-au-Prince;Haiti;;;;Haiti;"writer;poet";French;lccn-no00104109;;Q3195618;0000 0000 8354 584X;7664185
;Martelly;Stéphane;;female;;martelly;01/01/1974;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-no2001099019;;Q18636498;0000 0000 7364 3817;17386405
;Mathieu;Marie-Soeurette;;female;;mathieu;10/08/1949;Port-au-Prince;Haiti;;;;Canada;"poet;writer;novelist";French;lccn-n96070788;;Q468040;0000 0001 1492 8510;65739650
;Mathurin;Rodolphe;;male;;;09/12/1967;Port-au-Prince;Haiti;;;;Haiti;"novelist;teacher;short story writer";;;;Q83521548;0000 0003 7142 7047;251038722
;Maurouard;Elvire;;female;;maurouard;01/01/1971;Jérémie;Haiti;;;;Haiti;writer;French;lccn-no2003056916;;Q12890330;0000 0001 1038 8115;12488209
;Saint-Louis Mentor;Ulysse ;;male;;;;;;;;;;;;;;;;
;Merisier;Emilio;;male;;;;;;;;;;;;;;;;
;Métellus;Jean;;male;;metellus;30/04/1937;Jacmel;Haiti;04/01/2014;Bonneuil-sur-Marne;France;Haiti;"poet;essayist;novelist;neurologist;playwright";French;lccn-n78087538;;Q3173661;0000 0001 1038 4448;12312423
;Michel;Emeline;;female;;;01/01/1967;Gonaïves;Haiti;;;;Haiti;"singer-songwriter;singer";;lccn-no2009175297;;Q5370358;0000 0000 7365 6386;44495833
;Bertrand;Michel G.;;male;;;;;;;;;France;writer;French;lccn-n78077329;;Q3309004;;311603349
;Milard;Martine;;female;;;1978;;;;;;;;;;;;;79225128
;Milcé;Jean-Euphèle;;male;;milce;01/01/1969;;;;;;Haiti;"writer;poet;journalist";French;lccn-no2004057716;;Q12891863;0000 0001 2145 6507;101168619
;Moïse;Lenelle;;female;;;01/01/1980;Port-au-Prince;Haiti;;;;"United States of America;Haiti";"poet;actor;playwright;writer";;lccn-n2013070624;;Q6522408;0000 0004 2337 5745;305856687
;Moïse;Serge H.;;male;;;1942;;;;;;;;;;;;;309817046
;Mondesir;Jean Billy;;male;;;1984;;;;;;;;;;;;;8,15E+18
;Monnin;Michel;;male;;monnin;01/01/1941;;;;;;Switzerland;writer;French;lccn-n85340890;;Q6836494;0000 0000 2563 1213;71568689
;Morisseau;Roland;;male;;morisseau_roland;22/09/1933;Port-au-Prince;Haiti;29/06/1995;Montreal;Canada;Haiti;writer;French;lccn-n89640180;;Q12896340;0000 0001 1932 4695;13918227
;Morisseau-Leroy;Félix;;male;;morisolewa;13/03/1912;Grand-Gosier;Haiti;05/09/1998;Miami;United States of America;Haiti;"writer;poet;playwright;journalist";French-based creole languages;lccn-n82122247;;Q1363088;0000 0000 2738 8376;61549896
;Narcisse;J.-P. Richard;;male;;narcisse;;;;;;;;;;;;Q55217260;;
;Neptune;Miriam;;female;;;;;;;;;;;;;;;;
;Nerette;Leslie Gaëlle;;female;;;;;;;;;;;;;;;;
;Noël;James;;male;;noel;01/01/1978;Hinche;Haiti;;;;Haiti;"children's writer;actor;poet";French;lccn-no2007091380;;Q3161308;0000 0000 7851 2357;58863888
;Ollivier;Émile;;male;;ollivier;11/02/1940;Port-au-Prince;Haiti;10/11/2002;Montreal;Canada;Haiti;writer;French;lccn-n85302944;;Q286293;0000 0001 1030 5455;87423596
;Orcel;Makenzy;;male;;orcel;18/09/1983;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-no2009167874;;Q3280752;0000 0001 2145 7331;101540165
;Papillon;Iléus;;male;;papillon_ileus;08/06/1984;Haiti;Haiti;;;;Haiti;"writer;poet;journalist";;lccn-no2014059010;;Q55217189;;308246796
;Papillon;Margaret;;female;;papillon_margaret;14/11/1958;Port-au-Prince;Haiti;;;;Haiti;writer;French;lccn-nr88008622;;Q12894055;0000 0000 5160 1149;46871390
;Paret;Roland;;male;;paret;01/01/1943;Cap-Haïtien;Haiti;;;;Haiti;film director;French;lccn-n00027511;;Q18607375;0000 0000 7418 7999;77542865
;Pasquet;Jean-Marc;;male;;pasquet_jean-marc;01/01/1959;;;;;;Switzerland;writer;French;lccn-n96072247;;Q12891869;0000 0000 5622 2383;17339130
;Pasquet;Fabienne;;female;;pasquet_fabienne;22/12/1954;Geneva;Switzerland;;;;France;"writer;actor;translator";French;lccn-n96054136;;Q12890543;0000 0000 3197 2479;69067500
;Paul;Cauvin;;male;;paul;03/03/1942;Port-de-Paix;Haiti;;;;Haiti;writer;Haitian Creole;lccn-n79080761;;Q12888685;0000 0000 7364 2080;12482254
;Péan;Stanley;;male;;pean;31/03/1966;Port-au-Prince;Haiti;;;;"Haiti;Canada";"writer;children's writer";French;lccn-nr92001113;;Q3496855;0000 0000 7361 3175;12423959
;Phelps;Anthony;;male;;phelps;25/08/1928;Port-au-Prince;Haiti;;;;Haiti;"writer;playwright;poet";French;lccn-n79100908;;Q2852916;0000 0001 1047 1891;27080479
;Philoctète;René;;male;;philoctete;16/11/1932;Jérémie;Haiti;17/07/1995;Port-au-Prince;Haiti;Haiti;"journalist;poet;playwright";French;lccn-n85371987;;Q3045950;0000 0001 1470 7590;36967735
;Pierre;Claude C.;;male;;pierre_claude;28/02/1941;Corail, Grand'Anse;Haiti;24/06/2017;Canada;Canada;Haiti;poet;;lccn-n98086530;;Q2977119;0000 0000 7363 1189;66592624
;Pierre-Dahomey;Néhémy;;male;;pierre-dahomey;;;;;;;;;;;;Q55217188;;
;Poujol Oriol;Paulette;;female;;poujol-oriol;12/05/1926;Port-au-Prince;Haiti;11/03/2011;;;Haiti;actor;;lccn-n93107135;;Q12895266;0000 0000 3286 5675;21358336
;Prophète;Emmelie;;female;;prophete_emmelie;15/06/1971;Port-au-Prince;Haiti;;;;Haiti;"journalist;poet;writer";French;lccn-no2002020081;;Q3053007;0000 0001 2131 5552;47904412
;Régis;Guy;;male;;regis;01/01/1974;Port-au-Prince;Haiti;;;;Haiti;"writer;director;playwright";French;lccn-no2008060424;;Q2396474;0000 0001 2207 5263;170304147
