ID_dataset;Complete Name;Nom;Prenoms;sex or gender;spla.pro;Ile_en_Ile;date of birth;YEAR birth;place of birth;country_birth;date of death;year death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF;Date_birth_in_bio;DELETE;Date_in_Viaf;Website;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;in anais list;;;etat_civil
AU;Armand Margaret Mitchell;Armand;Margaret Mitchell;female;margaret-mitchell-armand.39598;;;;;;;;;;"United States of America;Haiti";researcher;English;;;;;0;0;0;http://www.margaretmitchellarmand.com/;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Augustave Elsie
WIKI;Antonio Vieux;;;male;;;28/08/1904;1904;Port-au-Prince;Haiti;02/06/1961;1961;;;;"writer;diplomat";;;Q15783722;0000 0000 7337 6683;103597518;;1;;#N/A;0;0;0;#N/A;#N/A;#N/A;0;;;Auguste Bonel
AU;Attoumani Nassur;Attoumani;Nassur;male;nassur-attoumani.14082;attoumani;05/03/1954;1954;Moroni;Comoros;;;;;France;"writer;playwright";French;;Q3336266;0000 0000 8254 9558;67607725;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Nassur_Attoumani;https://ht.wikipedia.org/wiki/Nassur_Attoumani;#N/A;8732;2963;1;;;Augustin Gary
AU;Augustave Elsie;Augustave;Elsie;female;elsie-augustave.39629;;;;Haiti;Haiti;;;;;"Haiti;United States of America";"author;choreographer";;;Q19663803;;;;0;0;http://www.elsieaugustave.com/;https://en.wikipedia.org/wiki/Elsie_Augustave;0;https://ht.wikipedia.org/wiki/Elsie_Augustave;3348;#N/A;1001;1;;;Azor Rodianco Fils
AU;Auguste Bonel;Auguste;Bonel;male;bonel-auguste.14053;auguste;06/03/1973;1973;Port-au-Prince;Haiti;;;;;Haiti;librarian;French;;Q16945858;0000 0004 1018 7235;304726217;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Bonel_Auguste;#N/A;#N/A;840;1;;;Baco Abdou S. 
AU;Augustin Gary;Augustin;Gary;male;gary-augustin.14054;augustin;01/01/1958;1958;Port-au-Prince;Haiti;01/01/2014;2014;;;Haiti;writer;;;Q16946325;0000 0000 3524 7848;23875210;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Gary_Augustin;#N/A;#N/A;905;1;;;Jean-Claude Bajeux
AU;Azor Rodianco Fils;Azor;Rodianco Fils;male;rodianco-fils-azor.32629;;;1990;;;;;;;Haïti;"poet;novelist";;;;;;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Barthélémy Mimi
AU;Baco Abdou S. ;Baco;Abdou S. ;male;abdou-s-baco.14055;baco;06/01/1965;1965;Mayotte;France;;;;;France;writer;French;;Q4665140;0000 0001 1473 2868;59132516;;0;;#N/A;https://en.wikipedia.org/wiki/Abdou_Baco;0;https://ht.wikipedia.org/wiki/Abdou_Baco;1995;#N/A;691;1;;;Barthélémy Elodie
AU;Barthélémy Mimi;Barthélémy;Mimi;female;;barthelemy;03/05/1939;1939;Port-au-Prince;Haiti;27/04/2013;2013;Paris;France;Haiti;"writer;novelist;actor";French;;Q16266631;0000 0001 2122 3252;17257872;;0;;#N/A;https://en.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://fr.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://ht.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;3441;5485;7116;1;;;Bastien Barbara
AU;Barthélémy Elodie;Barthélémy;Elodie;female;elodie-barthelemy.4122;;;1965;;;;;;;"Haïti;France";researcher;;;;;;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Batraville Frantz Dominique
AU;Bastien Barbara;Bastien;Barbara;female;barbara-bastien.39632;;;;Port-au-Prince;Haiti;;;;;;researcher;;0000-0003-3446-894X;Q88413613;;;0;0;0;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Beaugé-Rosier Jacqueline
AU;Batraville Frantz Dominique;Batraville;Frantz Dominique;male;frantz-dominique-batraville.9813;batraville;20/02/1962;1962;Port-au-Prince;Haiti;;;;;Haiti;"writer;literary critic;poet";French;;Q16029082;0000 0000 7990 2234;34700403;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Dominique_Batraville;https://ht.wikipedia.org/wiki/Dominique_Batraville;#N/A;3912;2811;1;;;Belin Biais Maggy
AU;Beaugé-Rosier Jacqueline;Beaugé-Rosier;Jacqueline;female;jacqueline-beauge-rosier.14056;beauge-rosier;07/02/1932;1932;Jérémie;Haiti;28/07/2016;2016;Ottawa;Canada;Haiti;"poet;writer";French;;Q3157670;0000 0001 1438 1092;13423245;;0;;#N/A;https://en.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://fr.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://ht.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;3206;3944;910;1;;;Bellerice Jules Emmanuel
AU;Bélance René;Bélance;René;male;rene-belance.14058;belance;08/01/1915;1915;Corail, Grand'Anse;Haiti;11/01/2004;2004;Port-au-Prince;Haiti;Haiti;writer;French;;Q18575751;0000 0000 7988 2042;28549341;;1;;#N/A;0;0;https://ht.wikipedia.org/wiki/Ren%C3%A9_B%C3%A9lance;#N/A;#N/A;921;0;;;Benjamin Franz
AU;Belin Biais Maggy;Belin Biais;Maggy;female;;belin;08/04/1950;1950;;;;;;;;writer;;;Q79392218;0000 0004 6358 6520;;;0;;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Berrouët-Oriol Robert M.
WIKI;Anthony Lespès;Anthony;Lespès;male;;lespes;07/02/1907;1907;Les Cayes;Haiti;01/01/1978;1978;Port-au-Prince;Haiti;Haiti;"writer;politician;poet";;;Q2852891;0000 0000 7144 0979;67939435;;1;;#N/A;0;https://fr.wikipedia.org/wiki/Anthony_Lesp%C3%A8s;https://ht.wikipedia.org/wiki/Anthony_Lesp%C3%A8s;#N/A;3939;1099;0;;;Binette Christie
AU;Bellerice Jules Emmanuel;Bellerice;Jules Emmanuel;male;jules-emmanuel-bellerice.40586;;;;;;;;;;Haiti;writer;;;Q12892188;0000 0000 4515 3781;1845443;1;0;0;#N/A;0;0;https://ht.wikipedia.org/wiki/Jules_Bellerice;#N/A;#N/A;789;1;;;Bloncourt Gérald
AU;Benjamin Franz;Benjamin;Franz;male;franz-benjamin.7348;benjamin;01/01/1968;1968;Port-au-Prince;Haiti;;;;;"Canada;Haiti";writer;Canadian French;;Q12890785;0000 0000 7370 9273;69253640;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Franz_Benjamin;#N/A;#N/A;1714;1;;;Bogart Jeanie
AU;Berrouët-Oriol Robert M.;Berrouët-Oriol;Robert M.;male;robert-m-berrouet-oriol.49492;berrouet-oriol;;1951;;;;;;;"Haïti;Canada";researcher;Canadian French;;Q55217164;0000 0000 7390 2620;1624364;0;0;0;https://sites.google.com/site/berroueetoriol/;0;0;0;#N/A;#N/A;#N/A;1;;;Bouchotte Giscard
AU;Bertrand Michel G.;Bertrand;Michel G.;male;;;;;;;;;;;France;writer;French;;Q3309004;;311603349;0;0;0;#N/A;0;https://fr.wikipedia.org/wiki/Michel_Bertrand_(m%C3%A9decin);0;#N/A;3267;#N/A;0;;;Bourjolly Jean-Marie
AU;Binette Christie;Binette;Christie;female;christie-binette.40488;;;1992;;;;;;;Haïti;;;;;;;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Brax Jean-Pierre
AU;Blaise Mario;Blaise;Mario;male;mario-blaise.3618;;;1943;;;;;;;;;;;;;100225976;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;;;Buriez Emmanuel
AU;Bloncourt Gérald;Bloncourt;Gérald;male;gerald-bloncourt.5362;bloncourt;04/11/1926;1926;Bainet;Haiti;29/10/2018;2018;Paris;France;Haiti;"photographer;painter;photojournalist";French;;Q3123601;0000 0001 1466 181X;2710821;;0;;http://www.bloncourt.net/;https://en.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://fr.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://ht.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;1932;11209;1319;1;;;Maurice Cadet
AU;Bogart Jeanie;Bogart;Jeanie;female;jeanie-bogart.32106;bogart;;1970;;;;;;;;poet;;;Q55217166;;;1;0;0;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Calvin Jean-Max
AU;Bouchotte Giscard;Bouchotte;Giscard;male;giscard-bouchotte.6939;;;;;;;;;;;;;;;;;0;0;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Caplife Charles Edward
AU;Bourjolly Jean-Marie;Bourjolly;Jean-Marie;male;jean-marie-bourjolly.14061;bourjolly;28/09/1947;1947;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q12891871;0000 0000 7385 6062;31392194;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Marie_Bourjolly;#N/A;#N/A;685;1;;;Carly Frantz
AU;Brax Jean-Pierre;Brax;Jean-Pierre;male;;;04/02/1957;1957;Port-au-Prince;Haiti;;;;;"France;Haiti";writer;French;;Q16946633;0000 0003 7393 4931;33651270;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax;#N/A;#N/A;9665;1;;;Castera Georges
AU;Roumain Jacques;Roumain;Jacques;male;;roumain;04/06/1907;1907;Port-au-Prince;Haiti;18/08/1944;1944;Port-au-Prince;Haiti;"Haiti;Haiti";"writer;poet;journalist;politician";French;;Q1356852;0000 0001 2131 8446;49230970;;1;;#N/A;https://en.wikipedia.org/wiki/Jacques_Roumain;https://fr.wikipedia.org/wiki/Jacques_Roumain;https://ht.wikipedia.org/wiki/Jacques_Roumain;8981;10198;7845;0;;;Cavé Syto
WIKI;Alix Mathon;;;male;;;09/10/1908;1908;Port-au-Prince;Haiti;04/05/1985;1985;Pétion-Ville;Haiti;Haiti;"journalist;politician;lawyer;writer;historian";French;;Q2837287;0000 0000 3508 5308;18646771;;1;;#N/A;https://en.wikipedia.org/wiki/Alix_Mathon;https://fr.wikipedia.org/wiki/Alix_Mathon;https://ht.wikipedia.org/wiki/Alix_Mathon;1586;5040;853;0;;;Cazanove Michele
AU;Buriez Emmanuel;Buriez;Emmanuel;male;emmanuel-buriez.37660;;01/01/1987;1987;Delmas;Haiti;;;;;France;"actor;film director";French;;Q39738159;;;;0;;http://www.emmanuelburiez.book.fr;0;0;https://ht.wikipedia.org/wiki/Emmanuel_Buriez;#N/A;#N/A;2749;1;;;Célestin-Mégie Emile
AU;Calvin Jean-Max;Calvin;Jean-Max;male;;calvin;01/06/1945;1945;Port-au-Prince;Haiti;;;;;Haiti;writer;;;Q16946629;0000 0000 4516 3146;1857513;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Max_Calvin;#N/A;#N/A;793;1;;;Chalmers Mehdi
AU;Brierre Jean Fernand;Brierre;Jean Fernand;male;jean-fernand-brierre.14062;brierre;23/09/1909;1909;Jérémie;Haiti;01/12/1992;1992;Port-au-Prince;Haiti;Haiti;"diplomat;poet;journalist;playwright;politician;historian";French;;Q3165387;0000 0000 2161 2461;59079637;;1;;#N/A;https://en.wikipedia.org/wiki/Jean-Fernand_Brierre;https://fr.wikipedia.org/wiki/Jean-Fernand_Brierre;https://ht.wikipedia.org/wiki/Jean-Fernand_Brierre;4620;6832;1151;0;;;Chancy Myriam J.A.
AU;Dorsinville Roger;Dorsinville;Roger;male;roger-dorsinville.12269;dorsinville_roger;11/03/1911;1911;Port-au-Prince;Haiti;12/01/1992;1992;Port-au-Prince;Haiti;Haiti;"journalist;politician;diplomat;poet;playwright";French;;Q2990316;0000 0001 1084 7561;114358405;;1;;#N/A;https://en.wikipedia.org/wiki/Roger_Dorsinville;https://fr.wikipedia.org/wiki/Roger_Dorsinville;https://ht.wikipedia.org/wiki/Roger_Dorsinville;2683;6541;989;0;;;Charles Jean-Claude
AU;Caplife Charles Edward;Caplife;Charles Edward;male;charles-edward-caplife.6256;;01/01/1960;1960;Cap-Haïtien;Haiti;;;;;"France;Haiti";writer;French;;Q12888836;0000 0000 0323 2908;32243099;;0;;http://caplife.free.fr;0;0;https://ht.wikipedia.org/wiki/Charles_Edward_Caplife;#N/A;#N/A;1072;1;;;Charles Christophe Philippe
WIKI;Edner Brutus;Edner;Brutus;male;;;01/01/1911;1911;Jérémie;Haiti;12/11/1980;1980;Port-au-Prince;Haiti;Haiti;"historian;diplomat;politician;author";French;;Q3048185;;;;1;;#N/A;https://en.wikipedia.org/wiki/Edner_Brutus;https://fr.wikipedia.org/wiki/Edner_Brutus;https://ht.wikipedia.org/wiki/Edner_Brutus;1124;2663;992;0;;;Charles Wébert
AU;Camille Roussan;Camille;Roussan;male;;camille;27/08/1912;1912;Jacmel;Haiti;07/12/1961;1961;Port-au-Prince;Haiti;Haiti;"journalist;poet;diplomat";French;;Q953097;0000 0001 1769 5521;71523357;;1;;#N/A;https://en.wikipedia.org/wiki/Roussan_Camille;https://fr.wikipedia.org/wiki/Roussan_Camille;https://ht.wikipedia.org/wiki/Roussan_Camille;3459;4170;783;0;;;Charles Fabian
AU;Castera Georges;Castera;Georges;male;georges-castera.8063;castera;27/12/1936;1936;Port-au-Prince;Haiti;24/01/2020;2020;Pétion-Ville;Haiti;Haiti;"writer;poet";French;;Q12890993;0000 0000 7361 1225;7456457;;0;;#N/A;https://en.wikipedia.org/wiki/Georges_Castera;https://fr.wikipedia.org/wiki/Georges_Castera;https://ht.wikipedia.org/wiki/Georges_Castera;2669;16949;3310;1;;;Chassagne Raymond
AU;Cavé Syto;Cavé;Syto;male;syto-cave.14124;cave;07/08/1944;1944;Jérémie;Haiti;;;;;Haiti;writer;French;;Q18642641;0000 0000 7418 5440;73399131;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Syto_Cav%C3%A9;#N/A;#N/A;2519;1;;;Chavenet Anaïse
AU;Cazanove Michele;Cazanove;Michele;female;;;;1947;;;;;;;;;;;;;19701838;;0;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Chenet Gérard
AU;Magloire-Saint-Aude Clément;Magloire-Saint-Aude;Clément;male;clement-magloire-saint-aude.32117;magloire-saint-aude;01/01/1912;1912;Port-au-Prince;Haiti;27/05/1971;1971;Port-au-Prince;Haiti;Haiti;"writer;poet";French;;Q2980637;0000 0000 8019 241X;49347179;;1;;#N/A;0;https://fr.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude;https://ht.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude;#N/A;3742;1060;0;;;Chery Romel
AU;Célestin-Mégie Emile;Célestin-Mégie;Emile;male;emile-celestin-megie.35088;;16/10/1922;1922;Marigot, Sud-Est;Haiti;06/07/2018;2018;;;Haiti;writer;French;;Q12890350;0000 0000 7829 4425;39386065;;0;;#N/A;0;https://fr.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;https://ht.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;#N/A;3871;1646;1;;;Clitandre Pierre
AU;Chalmers Mehdi;Chalmers;Mehdi;male;mehdi-chalmers.39515;;;;;;;;;;;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Clorméus Lewis Ampidu 
AU;Chancy Myriam J.A.;Chancy;Myriam J.A.;female;;chancy;01/01/1970;1970;;;;;;;Canada;"poet;writer";;;Q18631149;;119158299;;0;;#N/A;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;0;0;5868;#N/A;#N/A;1;;;Cocks Georges
AU;Charles Christophe Philippe;Charles;Christophe Philippe;male;christophe-philippe-charles-christopheles.14073;charles_christophe;01/04/1951;1951;Port-au-Prince;Haiti;;;;;Haiti;"literary scholar;lyricist;journalist;publisher;poet";French;;Q5111758;0000 0000 8399 8398;91292494;;0;;#N/A;https://en.wikipedia.org/wiki/Christophe_Charles;https://fr.wikipedia.org/wiki/Christophe_Philippe_Charles;https://ht.wikipedia.org/wiki/Christophe_Charles;1591;4837;3550;1;;;Constant Marcien
AU;Charles Jean-Claude;Charles;Jean-Claude;male;jean-claude-charles.14074;charles_jean-claude;20/10/1949;1949;Port-au-Prince;Haiti;07/05/2008;2008;Paris;France;Haiti;writer;French;;Q12891856;0000 0000 7360 0761;57241477;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean-Claude_Charles;#N/A;#N/A;812;1;;;Constant Joëlle
AU;Charles Fabian;Charles;Fabian;male;fabian-charles.31432;;12/04/1968;1968;;;;;;;;;;;;;199365045;;0;;http://fabiancharles.blogspot.fr;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Constant Jean André
AU;Charles Jean Watson;Charles;Jean Watson;male;jean-watson-charles.29801;;;1902;;;;1956;;;;;;;;;113848596;;1;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;;;Dabel Verly
AU;Charles Wébert;Charles;Wébert;male;webert-charles.39867;;;1988;;;;;;;;;;;;;;1;0;;http://lelivre.mondoblog.org;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Dalembert Louis-Philippe
AU;Chassagne Raymond;Chassagne;Raymond;male;raymond-chassagne.14075;chassagne;13/02/1924;1924;Jérémie;Haiti;27/05/2013;2013;Longueuil;Canada;Haiti;"writer;poet;university teacher";;;Q12896026;0000 0000 3564 7112;36959969;;0;;#N/A;https://en.wikipedia.org/wiki/Raymond_Chassagne;https://fr.wikipedia.org/wiki/Raymond_Chassagne;https://ht.wikipedia.org/wiki/Raymond_Chassagne;1628;4348;1170;1;;;D'Amérique Jean
AU;Chavenet Anaïse;Chavenet;Anaïse;female;anaise-chavenet.44780;;;;;;;;;;;;;;;;58368568;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Damus Obrillant
AU;Chenet Gérard;Chenet;Gérard;male;gerard-chenet.16720;chenet;14/04/1927;1927;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q11973505;0000 0000 4066 2683;29531822;;0;;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Danticat Edwidge
AU;Morisseau-Leroy Félix;Morisseau-Leroy;Félix;male;felix-morisseau-leroy.14146;morisolewa;13/03/1912;1912;Grand-Gosier;Haiti;05/09/1998;1998;Miami;United States of America;Haiti;"writer;poet;playwright;journalist";French-based creole languages;;Q1363088;0000 0000 2738 8376;61549896;;1;;#N/A;https://en.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;https://fr.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;https://ht.wikipedia.org/wiki/Felix_Morisseau-Leroy;8296;5539;1838;0;;;Davertige Villard Denis
AU;Clitandre Pierre;Clitandre;Pierre;male;pierre-clitandre.14078;clitandre;20/03/1954;1954;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q18555690;0000 0001 1452 2975;94470563;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Pierre_Clitandre;#N/A;#N/A;2228;1;;;Kern Delince
AU;Clorméus Lewis Ampidu ;Clorméus;Lewis Ampidu ;male;lewis-ampidu-clormeus.44901;;;1981;;;;;;;Haïti;researcher;French;;;0000 0004 1994 0721;305322777;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Depestre René
AU;Cocks Georges;Cocks;Georges;male;;;23/04/1975;1975;Saint-Martin;Guadeloupe;;;;;France;"writer;poet;playwright";French;;Q3102491;0000 0004 6413 2782;;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Georges_Cocks;https://ht.wikipedia.org/wiki/Georges_Cocks;#N/A;6154;1798;1;;;Desinor Nirvah
AU;Fouché Franck;Fouché;Franck;male;franck-fouche.49712;fouche;01/01/1915;1915;;;01/01/1978;1978;;;Haiti;writer;French-based creole languages;;Q12890741;0000 0000 7248 237X;41967110;;1;;#N/A;0;0;https://ht.wikipedia.org/wiki/Franck_Fouch%C3%A9;#N/A;#N/A;820;0;;;Désir Sophia
AU;Constant Jean André;Constant;Jean André;male;jean-andre-constant.14085;constant;01/01/1968;1968;;;;;;;Haiti;writer;;;Q12891886;0000 0000 4726 2607;66266233;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean_Andr%C3%A9_Constant;#N/A;#N/A;885;1;;;Desquiron Lilas
AU;Constant Joëlle;Constant;Joëlle;female;joelle-constant.49445;;;;Camp-Perrin;Haiti;;;;;;researcher;;0000-0002-3719-4609;Q91207438;;;0;0;0;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Desrivières Jean-Durosier
AU;Constant Marcien;Constant;Marcien;male;marcien-constant.49446;;09/05/1905;1956;;;;;;;;;;;;;317018594;1;0;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Desroches Jenner
AU;Dabel Verly;Dabel;Verly;male;verly-dabel.32108;dabel;01/01/1964;1964;;;;;;;Haiti;writer;;;Q18084484;0000 0000 6655 5755;92103925;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Verly_Dabel;#N/A;#N/A;2179;1;;;Desrosiers Joël
AU;Dalembert Louis-Philippe;Dalembert;Louis-Philippe;male;louis-philippe-dalembert.5052;dalembert;08/12/1962;1962;Port-au-Prince;Haiti;;;;;Haiti;"novelist;poet;writer;short story writer;non-fiction writer";Haitian Creole;;Q1315386;0000 0001 2141 3304;80256725;;0;;#N/A;https://en.wikipedia.org/wiki/Louis-Philippe_Dalembert;https://fr.wikipedia.org/wiki/Louis-Philippe_Dalembert;https://ht.wikipedia.org/wiki/Louis-Philippe_Dalembert;7814;10839;7983;1;;;Desvignes Luckner
AU;D'Amérique Jean;D'Amérique;Jean;male;jean-d-amerique.35672;amerique;01/12/1994;1994;Côtes-de-Fer;Haiti;;;;;Haiti;"poet;writer;slam poet";;;Q47087234;;;;0;;https://www.facebook.com/jeandamerique;0;https://fr.wikipedia.org/wiki/Jean_D%27Am%C3%A9rique;0;#N/A;6339;#N/A;1;;;Dieurat Clervoyant
AU;Damus Obrillant;Damus;Obrillant;male;obrillant-damus.49594;;;;;;;;;;Haiti;"researcher;writer";French;;;0000 0001 1883 0502;160745557;0;0;0;http://obrillantethaiti.blog.youphil.com;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Dominique Jan J.
AU;Danticat Edwidge;Danticat;Edwidge;female;edwige-danticat.4217;danticat;19/01/1969;1969;Port-au-Prince;Haiti;;;;;"United States of America;Haiti";"writer;novelist;children's writer";English;;Q450346;0000 0001 1051 509X;32104515;;0;;#N/A;https://en.wikipedia.org/wiki/Edwidge_Danticat;https://fr.wikipedia.org/wiki/Edwidge_Danticat;https://ht.wikipedia.org/wiki/Edwidge_Danticat;31591;6676;1157;1;;;Dorsinville Max
