id_auth;content;type;ana
Rene_Belance;Alexandre Pétion;PER;
Rene_Belance;Port-au-Prince;LOC;
Rene_Belance;Duraciné Vaval;PER;
Rene_Belance;Lauréat;PER;
Rene_Belance;Bélance;PER;
Rene_Belance;Dantès Bellegarde;PER;
Rene_Belance;École Nationale;ORG;
Rene_Belance;Bélance;PER;
Rene_Belance;Corail;PER;
Rene_Belance;Port-au-Prince;LOC;
Rene_Belance;Bélance;PER;
Rene_Belance;École Normale;ORG;
Rene_Belance;Unesco;ORG;
Rene_Belance;Mexique;LOC;
Rene_Belance;L’Unesco;PER;
Rene_Belance;Bélance;PER;
Rene_Belance;Haïti;LOC;
Rene_Belance;Bélance;PER;
Rene_Belance;Port-au-Prince;LOC;
Rene_Belance;lycée Toussaint;LOC;
Rene_Belance;Louverture;LOC;
Rene_Belance;Bélance;PER;
Rene_Belance;Émile Ollivier;PER;
Rene_Belance;Yolande Laraque;PER;
Rene_Belance;lycée Pétion;LOC;
Rene_Belance;Caraïbes;LOC;
Rene_Belance;l’Universidad;LOC;
Rene_Belance;Porto Rico;LOC;
Rene_Belance;Río Piedras;LOC;
Rene_Belance;Bélance;PER;
Rene_Belance;l’University of California;ORG;
Rene_Belance;Berkeley;LOC;
Rene_Belance;Suivra;PER;
Rene_Belance;Bélance;PER;
Rene_Belance;Whitman College;LOC;
Rene_Belance;Walla Walla;PER;
Rene_Belance;Williams College;PER;
Rene_Belance;Massachusetts;LOC;
Rene_Belance;Aimé Césaire;PER;
Rene_Belance;Providence;LOC;
Rene_Belance;Rhode Island;LOC;
Rene_Belance;Bélance;LOC;
Rene_Belance;Brown University;PER;
Rene_Belance;Lorsqu’;LOC;
Rene_Belance;Bélance;PER;
Rene_Belance;Haïti;LOC;
Rene_Belance;Frères;LOC;
Rene_Belance;Roger Gaillard;PER;
Rene_Belance;René Bélance;PER;
Rene_Belance;Port-au-Prince;LOC;
Rene_Belance;René Bélance;PER;
Rene_Belance;Hommages;PER;
Rene_Belance;René Bélance;PER;
Rene_Belance;Corail;LOC;
Rene_Belance;Haïti;LOC;
Rene_Belance;États-Unis;LOC;
Marc_L._Laroche;Marc Léo;PER;
Marc_L._Laroche;La Vallée de Jacmel;LOC;
Marc_L._Laroche;Haïti;LOC;
Marc_L._Laroche;Lycée Pinchinat de Jacmel;LOC;
Marc_L._Laroche;s’;LOC;
Marc_L._Laroche;s’;PER;
Marc_L._Laroche;Duvalier;PER;
Marc_L._Laroche;Canada;LOC;
Marc_L._Laroche;s’;PER;
Marc_L._Laroche;Université de Montréal;LOC;
Marc_L._Laroche;Université du Québec;LOC;
Marc_L._Laroche;Montréal;LOC;
Marc_L._Laroche;Montréal Métropolitain;LOC;
Marc_L._Laroche;Québec;LOC;
Emmelie_Prophete;Emmelie Prophète;PER;
Emmelie_Prophete;Port-au-Prince;LOC;
Emmelie_Prophete;Jackson State University;PER;
Emmelie_Prophete;Mississippi;LOC;
Emmelie_Prophete;USA;LOC;
Emmelie_Prophete;Radio;LOC;
Emmelie_Prophete;Haïti;LOC;
Emmelie_Prophete;Haïti;LOC;
Emmelie_Prophete;Genève;LOC;
Emmelie_Prophete;Chemins;LOC;
Emmelie_Prophete;Critiques;LOC;
Emmelie_Prophete;Boutures;LOC;
Emmelie_Prophete;Casa de las Americas;LOC;
Emmelie_Prophete;Cultura;LOC;
Emmelie_Prophete;La Nouvelle;ORG;
Emmelie_Prophete;Emmelie Prophète;PER;
Emmelie_Prophete;Montréal;LOC;
Emmelie_Prophete;Emmelie Prophète;PER;
Emmelie_Prophete;Emmelie Prophète;PER;
Emmelie_Prophete;c’;PER;
Emmelie_Prophete;C’;PER;
Emmelie_Prophete;Emmelie Prophète;PER;
Emmelie_Prophete;Direction Nationale du Livre;ORG;
Emmelie_Prophete;Ministère de la culture;ORG;
Emmelie_Prophete;Haïti;LOC;
Emmelie_Prophete;Bibliothèque Nationale;ORG;
Emmelie_Prophete;Haïti;LOC;
Emmelie_Prophete;Bureau haïtien;ORG;
Edmond_Laforest;Jérémie;PER;
Edmond_Laforest;Edmond Laforest;PER;
Edmond_Laforest;Rêveur;PER;
Edmond_Laforest;Haïti;PER;
Edmond_Laforest;s’;LOC;
Edmond_Laforest;Haïti;PER;
Edmond_Laforest;Jean Brierre;PER;Jean
Edmond_Laforest;Province;PER;
Edmond_Laforest;Normil G. Sylvain;PER;
Edmond_Laforest;Nerval;PER;
Edmond_Laforest;Cincinnatus Leconte;PER;
Edmond_Laforest;L’Évolution;PER;
Edmond_Laforest;Sonnets;PER;
Edmond_Laforest;La Ronde;PER;
Edmond_Laforest;s’;PER;
Edmond_Laforest;Hibbert;PER;
Edmond_Laforest;Marcelin;PER;
Edmond_Laforest;Lhérisson;PER;
Edmond_Laforest;s’;PER;
Edmond_Laforest;Larousse;PER;
Edmond_Laforest;s’;PER;
Edmond_Laforest;Christ;PER;
Edmond_Laforest;Aussi;LOC;
Edmond_Laforest;Rimbaud;PER;
Edmond_Laforest;Génie;PER;
Edmond_Laforest;État;LOC;
Edmond_Laforest;s’;PER;
Edmond_Laforest;Thanatos l’;PER;
Edmond_Laforest;Éros;PER;
Edmond_Laforest;s’;PER;
Edmond_Laforest;Edmond Laforest;PER;
Edmond_Laforest;Hérédia;ORG;
Edmond_Laforest;c’;PER;
Edmond_Laforest;Novalis;PER;
Edmond_Laforest;Baudelaire;PER;
Edmond_Laforest;Poe;PER;
Edmond_Laforest;s’;PER;
Edmond_Laforest;Burr;PER;
Edmond_Laforest;Reynaud;PER;
Edmond_Laforest;Revue Indigène;LOC;
Edmond_Laforest;Normil G. Sylvain;PER;
Edmond_Laforest;Émile Roumer;PER;
Edmond_Laforest;Musique;PER;
Edmond_Laforest;J’;PER;
Edmond_Laforest;Max Dominique;PER;
Edmond_Laforest;Jérémie;PER;
Edmond_Laforest;Edmond Laforest;PER;
Edmond_Laforest;Haïti;PER;
Edmond_Laforest;Haïti;LOC;
Edmond_Laforest;Jean Brierre;PER;Jean
Edmond_Laforest;Province;PER;
Edmond_Laforest;Normil G. Sylvain;PER;
Elsie_Surena;Elsie Suréna;PER;
Elsie_Surena;Port-au-Prince;LOC;
Elsie_Surena;Haïti;LOC;
Elsie_Surena;Haïti;LOC;
Elsie_Surena;Cayes;LOC;
Elsie_Surena;Camp;LOC;
Elsie_Surena;Perrin;LOC;
Elsie_Surena;Nord;LOC;
Elsie_Surena;Cap;LOC;
Elsie_Surena;Haïtien;LOC;
Elsie_Surena;s’;LOC;
Elsie_Surena;École Nationale des Arts;ORG;
Elsie_Surena;ENARTS;ORG;
Elsie_Surena;School of the Museum;ORG;
Elsie_Surena;Boca Raton;PER;
Elsie_Surena;l’Armory;LOC;
Elsie_Surena;West Palm Beach;LOC;
Elsie_Surena;Floride;LOC;
Elsie_Surena;Caraïbe;LOC;
Elsie_Surena;Équateur;LOC;
Elsie_Surena;États-Unis;LOC;
Elsie_Surena;Cambridge;LOC;
Elsie_Surena;Massachussetts;LOC;
Elsie_Surena;s’;PER;
Elsie_Surena;Elsie Suréna;PER;
Elsie_Surena;L’Arbre;PER;
Elsie_Surena;Haïti;LOC;
Elsie_Surena;Collège Saint Martial;LOC;
Elsie_Surena;Cours Édmée;ORG;
Elsie_Surena;Port-au-Prince;LOC;
Elsie_Surena;Collège Saint Jean;ORG;
Elsie_Surena;Cayes;ORG;
Elsie_Surena;Haïti;LOC;
Elsie_Surena;Cap;LOC;
Elsie_Surena;Port-au-Prince;LOC;
Elsie_Surena;République Dominicaine;LOC;
Elsie_Surena;Japon;LOC;
Elsie_Surena;États-Unis;LOC;
Elsie_Surena;Elsie Suréna;PER;
Elsie_Surena;Elsie Suréna;PER;
Elsie_Surena;Québec;LOC;
Elsie_Surena;Groupe;ORG;
Elsie_Surena;Union des Écrivaines;ORG;
Elsie_Surena;Écrivains Québécois;LOC;
Elsie_Surena;UNEQ;ORG;
Angelucci;Junior;PER;
Angelucci;Port-au-Prince;LOC;
Angelucci;Haïti;LOC;
Angelucci;Jean;PER;Jean
Angelucci;Claude Duvalier;PER;
Angelucci;Guindol;PER;
Angelucci;Émile Célestin;PER;
Angelucci;Mégie;PER;
Angelucci;Manigat;LOC;
Angelucci;Etc;PER;
Angelucci;Panorama;ORG;
Angelucci;Haïti;LOC;
Angelucci;Progrès;LOC;
Angelucci;Haïti;LOC;
Angelucci;Haiti-en-Marche;LOC;
Angelucci;Nouveauté Magazine;LOC;
Angelucci;Philippe Antoine;PER;
Angelucci;Haïti;LOC;
Angelucci;Marc Mathelier;PER;
Angelucci;Manigat;PER;
Angelucci;Connecticut;LOC;
Angelucci;Sosyete Koukouy;PER;
Angelucci;Connecticut;PER;
Angelucci;Association des Professionnels Haïtiens;ORG;
Angelucci;HAPAC;ORG;
Angelucci;Connecticut;LOC;
Angelucci;Connecticut;LOC;
Angelucci;Stamford;LOC;
Angelucci;Pierre Clitandre;PER;
Michele_Voltaire_Marcelin;Michèle Voltaire Marcelin;PER;
Michele_Voltaire_Marcelin;Haïti;LOC;
Michele_Voltaire_Marcelin;Port-au-Prince;LOC;
Michele_Voltaire_Marcelin;Santiago du Chili;LOC;
Michele_Voltaire_Marcelin;Allende;PER;
Michele_Voltaire_Marcelin;Stade National;LOC;
Michele_Voltaire_Marcelin;Relâchée;LOC;
Michele_Voltaire_Marcelin;New York;LOC;
Michele_Voltaire_Marcelin;Universitaire;PER;
Michele_Voltaire_Marcelin;Leonard Davis Center for Performing;PER;
Michele_Voltaire_Marcelin;City College;LOC;
Michele_Voltaire_Marcelin;Bagatelles;LOC;
Michele_Voltaire_Marcelin;CIDIHCA;ORG;
Michele_Voltaire_Marcelin;La Désenchantée;LOC;
Michele_Voltaire_Marcelin;La Desencantada;LOC;
Michele_Voltaire_Marcelin;Amours;LOC;
Michele_Voltaire_Marcelin;Bagatelles;LOC;
Michele_Voltaire_Marcelin;ALBA;ORG;
Michele_Voltaire_Marcelin;Introduction;LOC;
Michele_Voltaire_Marcelin;Littérature;LOC;
Michele_Voltaire_Marcelin;Michèle Voltaire Marcelin;PER;
Michele_Voltaire_Marcelin;Terre de Femmes;LOC;
Michele_Voltaire_Marcelin;Éditions Doucey;ORG;
Michele_Voltaire_Marcelin;Cahier Haïti;PER;
Michele_Voltaire_Marcelin;Revue d’;ORG;
Michele_Voltaire_Marcelin;Littérature;LOC;
Michele_Voltaire_Marcelin;Musique;LOC;
Michele_Voltaire_Marcelin;La Désenchantée;LOC;
Michele_Voltaire_Marcelin;La Havane;LOC;
Michele_Voltaire_Marcelin;Montréal;LOC;
Michele_Voltaire_Marcelin;Paris;LOC;
Michele_Voltaire_Marcelin;New York;LOC;
Michele_Voltaire_Marcelin;Ferré ;LOC;
Michele_Voltaire_Marcelin;Michèle Voltaire;PER;
Marlene_Rigaud_Apollon;Marlène Rigaud;PER;
Marlene_Rigaud_Apollon;Cap;LOC;
Marlene_Rigaud_Apollon;Haïtien;LOC;
Marlene_Rigaud_Apollon;Institution du Sacré-Cœur de Turgeau;ORG;
Marlene_Rigaud_Apollon;Port-au-Prince;LOC;
Marlene_Rigaud_Apollon;États-Unis;LOC;
Marlene_Rigaud_Apollon;Titulaire;LOC;
Marlene_Rigaud_Apollon;Professional Writing;PER;
Marlene_Rigaud_Apollon;Haïti;LOC;
Marlene_Rigaud_Apollon;Mère Marie Lange;PER;
Marlene_Rigaud_Apollon;Louis Mercier;PER;
Marlene_Rigaud_Apollon;Mère Marie;PER;
Marlene_Rigaud_Apollon;Baltimore;LOC;
Marlene_Rigaud_Apollon;Maryland;LOC;
Marlene_Rigaud_Apollon;Saint Frances Academy;ORG;
Marlene_Rigaud_Apollon;Maryland;LOC;
Marlene_Rigaud_Apollon;Mère Marie;PER;
Marlene_Rigaud_Apollon;Noirs;LOC;
Marlene_Rigaud_Apollon;l’Église;PER;
Marlene_Rigaud_Apollon;États-Unis;LOC;
Marlene_Rigaud_Apollon;Baltimore;LOC;
Marlene_Rigaud_Apollon;Washington;LOC;
Marlene_Rigaud_Apollon;D.C;LOC;
Marlene_Rigaud_Apollon;Haïti;LOC;
Marlene_Rigaud_Apollon;Louis Mercier;PER;
Marlene_Rigaud_Apollon;Marlène Rigaud Apollon;PER;
Marlene_Rigaud_Apollon;Haïti;PER;
Marlene_Rigaud_Apollon;l’;LOC;
Marlene_Rigaud_Apollon;États-Unis;LOC;
Marlene_Rigaud_Apollon;Marlène Rigaud Apollon;PER;
Marlene_Rigaud_Apollon;Haiti Trivia  ;PER;
Marlene_Rigaud_Apollon;Marlène Rigaud;PER;
Marlene_Rigaud_Apollon;Cap;LOC;
Marlene_Rigaud_Apollon;Haïtien;LOC;
Marlene_Rigaud_Apollon;Institution du Sacré-Cœur de Turgeau;ORG;
Marlene_Rigaud_Apollon;Port-au-Prince;LOC;
Marlene_Rigaud_Apollon;États-Unis;LOC;
Marlene_Rigaud_Apollon;Professional Writing;LOC;
Marlene_Rigaud_Apollon;Haïti;LOC;
Odette_Roy_Fombrun;Haïtienne;LOC;
Odette_Roy_Fombrun;Port-au-Prince;LOC;
Odette_Roy_Fombrun;Odette Roy Fombrun;PER;
Odette_Roy_Fombrun;École Normale d’;ORG;
Odette_Roy_Fombrun;Nursery Training School;ORG;
Odette_Roy_Fombrun;Boston;LOC;
Odette_Roy_Fombrun;Cuba;LOC;
Odette_Roy_Fombrun;Tabou;PER;
Odette_Roy_Fombrun;l’Éducation;PER;
Odette_Roy_Fombrun;Haïti;LOC;
Odette_Roy_Fombrun;Société haïtienne d’;ORG;
Odette_Roy_Fombrun;Géographie;PER;
Odette_Roy_Fombrun;L’Ayiti des Indiens;PER;
Odette_Roy_Fombrun;Résumé;LOC;
Odette_Roy_Fombrun;Description;LOC;
Odette_Roy_Fombrun;Saint;PER;
Odette_Roy_Fombrun;Domingue de Moreau de Saint;PER;
Odette_Roy_Fombrun;Méry;PER;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Odette_Roy_Fombrun;François Duvalier;PER;
Odette_Roy_Fombrun;États-Unis d’Amérique;LOC;
Odette_Roy_Fombrun;Afrique;LOC;
Odette_Roy_Fombrun;Marcel Fombrun;PER;
Odette_Roy_Fombrun;UNICEF;ORG;
Odette_Roy_Fombrun;Duvalier;PER;
Odette_Roy_Fombrun;Unité nationale;ORG;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Odette_Roy_Fombrun;Centre;LOC;
Odette_Roy_Fombrun;Washington;LOC;
Odette_Roy_Fombrun;La Démocratie;ORG;
Odette_Roy_Fombrun;Haïti ;LOC;
Odette_Roy_Fombrun;Démocratie;LOC;
Odette_Roy_Fombrun;Haïti;LOC;
Odette_Roy_Fombrun;s’;PER;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Odette_Roy_Fombrun;Konbitisme;LOC;
Odette_Roy_Fombrun;Franck Laraque;PER;
Odette_Roy_Fombrun;Pauvreté;LOC;
Odette_Roy_Fombrun;L’Haïti;LOC;
Odette_Roy_Fombrun;Duvalier;PER;
Odette_Roy_Fombrun;Gérard Barthélemy;PER;
Odette_Roy_Fombrun;Monde;ORG;
Odette_Roy_Fombrun;Odette Roy Fombrun;PER;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Odette_Roy_Fombrun;Club BPW;ORG;
Odette_Roy_Fombrun;Business & Professional Women’s Club;ORG;
Odette_Roy_Fombrun;Port-au-Prince;LOC;
Odette_Roy_Fombrun;Fondation 91;ORG;
Odette_Roy_Fombrun;Haïtiens;LOC;
Odette_Roy_Fombrun;Haïti;LOC;
Odette_Roy_Fombrun;Centre;LOC;
Odette_Roy_Fombrun;Caraïbe;LOC;
Odette_Roy_Fombrun;Commission;ORG;
Odette_Roy_Fombrun;Commission de Conciliation;ORG;
Odette_Roy_Fombrun;Comité national de Médiation;ORG;
Odette_Roy_Fombrun;Ligue Féminine d’;ORG;
Odette_Roy_Fombrun;Action Sociale;ORG;
Odette_Roy_Fombrun;CADOR;ORG;
Odette_Roy_Fombrun;Club de l’;ORG;
Odette_Roy_Fombrun;Comité de soutien;ORG;
Odette_Roy_Fombrun;Rapport National;ORG;
Odette_Roy_Fombrun;PNUD;ORG;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Odette_Roy_Fombrun;île Quisqueya;LOC;
Odette_Roy_Fombrun;Taïnos;LOC;
Odette_Roy_Fombrun;Hispaniola;PER;
Odette_Roy_Fombrun;Île;LOC;
Odette_Roy_Fombrun;Boston;LOC;
Odette_Roy_Fombrun;Konbit Clinic;PER;
Odette_Roy_Fombrun;Trésor;PER;
Odette_Roy_Fombrun;Haïti;LOC;
Odette_Roy_Fombrun;Konbitisme’;PER;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Odette_Roy_Fombrun;Éditions;LOC;
Odette_Roy_Fombrun;Henri Deschamps;PER;
Odette_Roy_Fombrun;Géographie;PER;
Odette_Roy_Fombrun;Haïti;LOC;
Odette_Roy_Fombrun;Deschamps;PER;
Odette_Roy_Fombrun;FERF;ORG;
Odette_Roy_Fombrun;Fonds Éducatif;PER;
Odette_Roy_Fombrun;Fombrun;PER;
Odette_Roy_Fombrun;Éducation civique;PER;
Odette_Roy_Fombrun;Mini Bibliothèques;PER;
Odette_Roy_Fombrun;Fonds;PER;
Odette_Roy_Fombrun;FORF;ORG;
Odette_Roy_Fombrun;Fondation Odette Roy Fombrun;ORG;
Odette_Roy_Fombrun;FORF;ORG;
Odette_Roy_Fombrun;FERF;ORG;
Odette_Roy_Fombrun;FORF;ORG;
Odette_Roy_Fombrun;Touris Lakay;PER;
Odette_Roy_Fombrun;Livres;LOC;
Odette_Roy_Fombrun;Haïti;LOC;
Odette_Roy_Fombrun;Makenzy Orcel;PER;
Odette_Roy_Fombrun;Odette Roy Fombrun;PER;
Odette_Roy_Fombrun;Madame Fombrun;PER;
Georges_Sylvain;Georges Sylvain;PER;
Georges_Sylvain;Puerto;LOC;
Georges_Sylvain;Plata;LOC;
Georges_Sylvain;République dominicaine;LOC;
Georges_Sylvain;Port-de-Paix;LOC;
Georges_Sylvain;Port-au-Prince;LOC;
Georges_Sylvain;Collège Stanislas;LOC;
Georges_Sylvain;Paris;LOC;
Georges_Sylvain;Faculté des Lettres;ORG;
Georges_Sylvain;Faculté de Droit de Paris;ORG;
Georges_Sylvain;Eugénie Mallebranche;PER;
Georges_Sylvain;Suzanne Comhaire;PER;
Georges_Sylvain;Sylvain;PER;
Georges_Sylvain;Haïti;PER;
Georges_Sylvain;Normil Sylvain;PER;
Georges_Sylvain;Madeleine Sylvain;PER;
Georges_Sylvain;Bouchereau;PER;
Georges_Sylvain;Ligue féminine;ORG;
Georges_Sylvain;Yvonne Sylvain;PER;
Georges_Sylvain;Haïti;PER;
Georges_Sylvain;Henri;PER;
Georges_Sylvain;Jeanne;PER;
Georges_Sylvain;Pierre Sylvain;PER;
Georges_Sylvain;Nommé Juge;PER;
Georges_Sylvain;Cassation;LOC;
Georges_Sylvain;Société de législation;ORG;
Georges_Sylvain;institut International de Sociologie;ORG;
Georges_Sylvain;Bâtonnier de l’;PER;
Georges_Sylvain;Faculté de droit;ORG;
Georges_Sylvain;Confidences;LOC;
Georges_Sylvain;s’;PER;
Georges_Sylvain;Fables de La Fontaine;LOC;
Georges_Sylvain;Solon Ménos;PER;
Georges_Sylvain;Dantès Bellegarde;PER;
Georges_Sylvain;Morceaux;PER;
Georges_Sylvain;L’;LOC;
Georges_Sylvain;l’Académie française;ORG;
Georges_Sylvain;Alliance française;ORG;
Georges_Sylvain;Haïti;LOC;
Georges_Sylvain;Alliance française;ORG;
Georges_Sylvain;Haïti;LOC;
Georges_Sylvain;République d’Haïti;LOC;
Georges_Sylvain;Paris;LOC;
Georges_Sylvain;Saint;LOC;
Georges_Sylvain;La Ronde;PER;
Georges_Sylvain;Haïti;PER;
Georges_Sylvain;Union Patriotique;ORG;
Georges_Sylvain;Georges Sylvain;PER;
Georges_Sylvain;Dieulermesson Petit Frère;PER;
Roland_Paret;Roland Paret;PER;
Roland_Paret;Cap;LOC;
Roland_Paret;Haïtien;LOC;
Roland_Paret;Haïti;LOC;
Roland_Paret;Europe;LOC;
Roland_Paret;École Supérieure;ORG;
Roland_Paret;État;LOC;
Roland_Paret;PWSFTiTv;LOC;
Roland_Paret;Lodz;LOC;
Roland_Paret;Pologne;LOC;
Roland_Paret;Montréal;LOC;
Roland_Paret;Radio;LOC;
Roland_Paret;Québec;LOC;
Roland_Paret;Via;LOC;
Roland_Paret;Daniel Bertolino;PER;
Roland_Paret;Université du Québec;ORG;
Roland_Paret;Montréal;LOC;
Roland_Paret;Département de langue et littérature françaises;ORG;
Roland_Paret;Université McGill;ORG;
Roland_Paret;Roland Paret;PER;
Roland_Paret;l’ACCT;ORG;
Roland_Paret;Ikor;LOC;
Roland_Paret;Festival International du Film;ORG;
Roland_Paret;FIFA;ORG;
Roland_Paret;Montréal;LOC;
Roland_Paret;Roland Paret;PER;
Roland_Paret;Convocation des Grands Vents;ORG;
Roland_Paret;Pierre;PER;
Roland_Paret;Raymond Dumas;PER;
Roland_Paret;Dumas;PER;
Roland_Paret;c’;PER;
Roland_Paret;Dumas;PER;
Roland_Paret;Paret;PER;
Roland_Paret;Paret;PER;
Roland_Paret;Haïti;LOC;
Roland_Paret;Tribune;LOC;
Roland_Paret;Roland Paret;PER;
Roland_Paret;Montréal;LOC;
Roland_Paret;Île;LOC;
Roland_Paret;Roland Paret s’;PER;
Alix_Renaud;Alix Renaud;PER;
Alix_Renaud;Port-au-Prince;LOC;
Alix_Renaud;Québec;LOC;
Alix_Renaud;Alix Renaud;PER;
Alix_Renaud;Québec;LOC;
Alix_Renaud;France;LOC;
Alix_Renaud;Mexique;LOC;
Alix_Renaud;Belgique;LOC;
Alix_Renaud;Québec;LOC;
Alix_Renaud;France;LOC;
Alix_Renaud;Conservatoire national;ORG;
Alix_Renaud;Port-au-Prince;LOC;
Alix_Renaud;Haïti;LOC;
Alix_Renaud;Université Laval;LOC;
Alix_Renaud;Québec;LOC;
Alix_Renaud;Diseur;LOC;
Alix_Renaud;Alix Renaud;PER;
Alix_Renaud;l’Université Laval;LOC;
Alix_Renaud;Québec;LOC;
Alix_Renaud;CEULA;ORG;
Alix_Renaud;Bibliothèque de Saint;PER;
Alix_Renaud;Romuald;PER;
Alix_Renaud;Association des écrivains de Toronto;ORG;
Alix_Renaud;Secrétariat d’État du Canada;ORG;
Alix_Renaud;ministère des Affaires culturelles du Québec;ORG;
Alix_Renaud;ministère de la Culture et des Communications du Québec;ORG;
Alix_Renaud;Son Hi;PER;
Alix_Renaud;Fi Magazine;PER;
Alix_Renaud;Radio;LOC;
Alix_Renaud;Canada;LOC;
Alix_Renaud;L’;LOC;
Alix_Renaud;Le Soleil;LOC;
Alix_Renaud;Le Devoir;LOC;
Alix_Renaud;Québec;LOC;
Alix_Renaud;Québec Science;PER;
Alix_Renaud;Imagine;PER;
Alix_Renaud;Alix Renaud;PER;
Alix_Renaud;Radio Canada International;ORG;
Alix_Renaud;Voir de Québec;ORG;
Alix_Renaud;Guide;PER;
Alix_Renaud;Collège radio-télévision de Québec;LOC;
Alix_Renaud;C.R.T.Q.;LOC;
Alix_Renaud;Union des écrivaines;ORG;
Alix_Renaud;Fédération professionnelle des journalistes du Québec;ORG;
Alix_Renaud;F.P.J.Q.;LOC;
Alix_Renaud;García;PER;
Alix_Renaud;Márquez de Québec;PER;
Alix_Renaud;Alain Beaulieu;PER;
Alix_Renaud;Alix Renaud;PER;
Alix_Renaud;Tam;LOC;
Alix_Renaud;Café;LOC;
Alix_Renaud;Québec;LOC;
Alix_Renaud;Stanley Péan;PER;
Alix_Renaud;Jean Désy;PER;Jean
Alix_Renaud;Jeannot Turcotte;PER;
Alix_Renaud;Jean;PER;Jean
Alix_Renaud;Michel Borgeat;PER;
Alix_Renaud;Ralph Côté;PER;
Alix_Renaud;Michelle Lavallée;PER;
Alix_Renaud;Alix Renaud;PER;
Alix_Renaud;Radio;LOC;
Alix_Renaud;Canada;LOC;
Jacques-Stephen_Alexis;Jacques;PER;
Jacques-Stephen_Alexis;Stephen Alexis;PER;
Jacques-Stephen_Alexis;Gonaïves;LOC;
Jacques-Stephen_Alexis;Haïti;LOC;
Jacques-Stephen_Alexis;Stéphen Alexis;PER;
Jacques-Stephen_Alexis;Europe;LOC;
Jacques-Stephen_Alexis;Jacques;PER;
Jacques-Stephen_Alexis;Collège Stanislas;LOC;
Jacques-Stephen_Alexis;Paris;LOC;
Jacques-Stephen_Alexis;Haïti;LOC;
Jacques-Stephen_Alexis;Collège Saint;ORG;
Jacques-Stephen_Alexis;Louis;PER;
Jacques-Stephen_Alexis;Gonzague;PER;
Jacques-Stephen_Alexis;Faculté de médecine;ORG;
Jacques-Stephen_Alexis;Roumain;PER;
Jacques-Stephen_Alexis;Guillen;PER;
Jacques-Stephen_Alexis;La Ruche;LOC;
Jacques-Stephen_Alexis;Parti Communiste Haïtien;ORG;
Jacques-Stephen_Alexis;Dumarsais Estimé;PER;
Jacques-Stephen_Alexis;Paris;LOC;
Jacques-Stephen_Alexis;Jeunesses communistes;ORG;
Jacques-Stephen_Alexis;Fédération de Paris;ORG;
Jacques-Stephen_Alexis;Chine;LOC;
Jacques-Stephen_Alexis;Aragon;PER;
Jacques-Stephen_Alexis;Négritude;LOC;
Jacques-Stephen_Alexis;Gallimard;ORG;
